geo_level,geo_code,area,sex,total,geo_version
district,86,Rural,Male,251462,2011
district,86,Urban,Male,565228,2011
district,87,Rural,Male,506086,2011
district,87,Urban,Male,65076,2011
district,88,Rural,Male,198103,2011
district,88,Urban,Male,768007,2011
district,89,Rural,Male,428907,2011
district,89,Urban,Male,125590,2011
state,7,Rural,Male,226321,2011
state,7,Urban,Male,8761005,2011
district,90,Rural,Male,115680,2011
district,90,Urban,Male,1845242,2011
district,91,Rural,Male,9546,2011
district,91,Urban,Male,465456,2011
district,92,Rural,Male,11718,2011
district,92,Urban,Male,1176707,2011
district,93,Rural,Male,1861,2011
district,93,Urban,Male,905639,2011
district,94,Rural,Male,0,2011
district,94,Urban,Male,77942,2011
district,95,Rural,Male,0,2011
district,95,Urban,Male,307821,2011
district,96,Rural,Male,3355,2011
district,96,Urban,Male,1352885,2011
district,97,Rural,Male,77342,2011
district,97,Urban,Male,1168704,2011
district,98,Rural,Male,6819,2011
district,98,Urban,Male,1460609,2011
state,8,Rural,Male,26641747,2011
state,8,Urban,Male,8909250,2011
district,99,Rural,Male,758269,2011
district,99,Urban,Male,285071,2011
district,100,Rural,Male,746887,2011
district,100,Urban,Male,184297,2011
district,101,Rural,Male,821434,2011
district,101,Urban,Male,419367,2011
district,102,Rural,Male,755028,2011
district,102,Urban,Male,296418,2011
district,103,Rural,Male,842718,2011
district,103,Urban,Male,253178,2011
district,104,Rural,Male,1589508,2011
district,104,Urban,Male,349518,2011
district,105,Rural,Male,1093357,2011
district,105,Urban,Male,262369,2011
district,106,Rural,Male,520930,2011
district,106,Urban,Male,132717,2011
district,107,Rural,Male,668185,2011
district,107,Urban,Male,115454,2011
district,108,Rural,Male,564592,2011
district,108,Urban,Male,139439,2011
district,109,Rural,Male,751900,2011
district,109,Urban,Male,105887,2011
district,110,Rural,Male,1642924,2011
district,110,Urban,Male,1825583,2011
district,111,Rural,Male,1047469,2011
district,111,Urban,Male,327521,2011
district,112,Rural,Male,1368771,2011
district,112,Urban,Male,327554,2011
district,113,Rural,Male,1260328,2011
district,113,Urban,Male,663600,2011
district,114,Rural,Male,312447,2011
district,114,Urban,Male,49261,2011
district,115,Rural,Male,1273249,2011
district,115,Urban,Male,95773,2011
district,116,Rural,Male,857619,2011
district,116,Urban,Male,79015,2011
district,117,Rural,Male,424252,2011
district,117,Urban,Male,109979,2011
district,118,Rural,Male,787559,2011
district,118,Urban,Male,237863,2011
district,119,Rural,Male,789397,2011
district,119,Urban,Male,534688,2011
district,120,Rural,Male,568045,2011
district,120,Urban,Male,160091,2011
district,121,Rural,Male,461734,2011
district,121,Urban,Male,115426,2011
district,122,Rural,Male,955378,2011
district,122,Urban,Male,265358,2011
district,123,Rural,Male,486960,2011
district,123,Urban,Male,94379,2011
district,124,Rural,Male,651046,2011
district,124,Urban,Male,45486,2011
district,125,Rural,Male,842767,2011
district,125,Urban,Male,64987,2011
district,126,Rural,Male,636415,2011
district,126,Urban,Male,146756,2011
district,127,Rural,Male,401331,2011
district,127,Urban,Male,619830,2011
district,128,Rural,Male,502228,2011
district,128,Urban,Male,131717,2011
district,129,Rural,Male,606533,2011
district,129,Urban,Male,118610,2011
district,130,Rural,Male,1251316,2011
district,130,Urban,Male,315485,2011
district,131,Rural,Male,401171,2011
district,131,Urban,Male,36573,2011
state,9,Rural,Male,80992995,2011
state,9,Urban,Male,23487515,2011
district,132,Rural,Male,1269803,2011
district,132,Urban,Male,564303,2011
district,133,Rural,Male,1565004,2011
district,133,Urban,Male,628430,2011
district,134,Rural,Male,1438412,2011
district,134,Urban,Male,482803,2011
district,135,Rural,Male,1680022,2011
district,135,Urban,Male,823164,2011
district,136,Rural,Male,916878,2011
district,136,Urban,Male,307011,2011
district,137,Rural,Male,724539,2011
district,137,Urban,Male,238910,2011
district,138,Rural,Male,894920,2011
district,138,Urban,Male,930823,2011
district,139,Rural,Male,553807,2011
district,139,Urban,Male,146263,2011
district,140,Rural,Male,808222,2011
district,140,Urban,Male,1680612,2011
district,141,Rural,Male,359605,2011
district,141,Urban,Male,530609,2011
district,142,Rural,Male,1390490,2011
district,142,Urban,Male,454770,2011
district,143,Rural,Male,1308923,2011
district,143,Urban,Male,643073,2011
district,144,Rural,Male,659814,2011
district,144,Urban,Male,176313,2011
district,145,Rural,Male,962028,2011
district,145,Urban,Male,405097,2011
district,146,Rural,Male,1285184,2011
district,146,Urban,Male,1079769,2011
district,147,Rural,Male,891872,2011
district,147,Urban,Male,440174,2011
district,148,Rural,Male,842374,2011
district,148,Urban,Male,151003,2011
district,149,Rural,Male,1630376,2011
district,149,Urban,Male,337383,2011
