geo_level,geo_code,area,sex,education,total,geo_version
district,21,Rural,Male,Literate Without Level,6122,2011
district,21,Urban,Male,Literate Without Level,9891,2011
district,22,Rural,Male,Literate Without Level,1870,2011
district,22,Urban,Male,Literate Without Level,1025,2011
district,23,Rural,Male,Literate Without Level,5475,2011
district,23,Urban,Male,Literate Without Level,207,2011
district,24,Rural,Male,Literate Without Level,16325,2011
district,24,Urban,Male,Literate Without Level,1211,2011
district,25,Rural,Male,Literate Without Level,415,2011
district,25,Urban,Male,Literate Without Level,0,2011
district,26,Rural,Male,Literate Without Level,4967,2011
district,26,Urban,Male,Literate Without Level,436,2011
district,27,Rural,Male,Literate Without Level,8544,2011
district,27,Urban,Male,Literate Without Level,257,2011
district,28,Rural,Male,Literate Without Level,3401,2011
district,28,Urban,Male,Literate Without Level,225,2011
district,29,Rural,Male,Literate Without Level,5117,2011
district,29,Urban,Male,Literate Without Level,467,2011
district,30,Rural,Male,Literate Without Level,1213,2011
district,30,Urban,Male,Literate Without Level,62,2011
district,31,Rural,Male,Literate Without Level,4607,2011
district,31,Urban,Male,Literate Without Level,1636,2011
district,32,Rural,Male,Literate Without Level,2915,2011
district,32,Urban,Male,Literate Without Level,323,2011
district,33,Rural,Male,Literate Without Level,4749,2011
district,33,Urban,Male,Literate Without Level,1125,2011
district,34,Rural,Male,Literate Without Level,860,2011
district,34,Urban,Male,Literate Without Level,0,2011
district,35,Rural,Male,Literate Without Level,16984,2011
district,35,Urban,Male,Literate Without Level,6858,2011
district,36,Rural,Male,Literate Without Level,5686,2011
district,36,Urban,Male,Literate Without Level,3413,2011
district,37,Rural,Male,Literate Without Level,10433,2011
district,37,Urban,Male,Literate Without Level,14810,2011
district,38,Rural,Male,Literate Without Level,10642,2011
district,38,Urban,Male,Literate Without Level,3098,2011
district,39,Rural,Male,Literate Without Level,5660,2011
district,39,Urban,Male,Literate Without Level,1105,2011
district,40,Rural,Male,Literate Without Level,4369,2011
district,40,Urban,Male,Literate Without Level,1735,2011
district,41,Rural,Male,Literate Without Level,18084,2011
district,41,Urban,Male,Literate Without Level,26417,2011
district,42,Rural,Male,Literate Without Level,12017,2011
district,42,Urban,Male,Literate Without Level,2862,2011
district,43,Rural,Male,Literate Without Level,10578,2011
district,43,Urban,Male,Literate Without Level,3468,2011
district,44,Rural,Male,Literate Without Level,4552,2011
district,44,Urban,Male,Literate Without Level,1826,2011
district,45,Rural,Male,Literate Without Level,3046,2011
