geo_level,geo_code,age,area,sex,total,geo_version
state,7,20-24,Rural,Female,20602,2011
state,7,25-29,Rural,Female,18666,2011
state,7,30-34,Rural,Female,16402,2011
state,7,35-39,Rural,Female,14910,2011
state,7,40-44,Rural,Female,11782,2011
state,7,45-49,Rural,Female,8695,2011
state,7,50-54,Rural,Female,6430,2011
state,7,55-59,Rural,Female,4927,2011
state,7,60-64,Rural,Female,5924,2011
state,7,65-69,Rural,Female,2998,2011
state,7,70-74,Rural,Female,2147,2011
state,7,75-79,Rural,Female,1067,2011
state,7,80+,Rural,Female,1540,2011
state,7,Age not stated,Rural,Female,236,2011
state,8,0-4,Rural,Female,2725194,2011
state,8,5-9,Rural,Female,2989398,2011
state,8,10-14,Rural,Female,3090457,2011
state,8,15-19,Rural,Female,2578852,2011
state,8,20-24,Rural,Female,2211087,2011
state,8,25-29,Rural,Female,1850840,2011
state,8,30-34,Rural,Female,1696706,2011
state,8,35-39,Rural,Female,1544561,2011
state,8,40-44,Rural,Female,1314207,2011
state,8,45-49,Rural,Female,1115603,2011
state,8,50-54,Rural,Female,849535,2011
state,8,55-59,Rural,Female,715210,2011
state,8,60-64,Rural,Female,677057,2011
state,8,65-69,Rural,Female,522444,2011
state,8,70-74,Rural,Female,412974,2011
state,8,75-79,Rural,Female,202628,2011
state,8,80+,Rural,Female,256021,2011
state,8,Age not stated,Rural,Female,105831,2011
state,9,0-4,Rural,Female,7915860,2011
state,9,5-9,Rural,Female,9617853,2011
state,9,10-14,Rural,Female,9811618,2011
state,9,15-19,Rural,Female,8285666,2011
state,9,20-24,Rural,Female,6061343,2011
state,9,25-29,Rural,Female,5329277,2011
state,9,30-34,Rural,Female,4985338,2011
state,9,35-39,Rural,Female,4675493,2011
state,9,40-44,Rural,Female,3631268,2011
state,9,45-49,Rural,Female,3037358,2011
state,9,50-54,Rural,Female,2250260,2011
state,9,55-59,Rural,Female,2206066,2011
state,9,60-64,Rural,Female,2191955,2011
state,9,65-69,Rural,Female,1533881,2011
state,9,70-74,Rural,Female,1055241,2011
state,9,75-79,Rural,Female,494065,2011
state,9,80+,Rural,Female,693691,2011
state,9,Age not stated,Rural,Female,548050,2011
state,10,0-4,Rural,Female,5630463,2011
state,10,5-9,Rural,Female,6572838,2011
state,10,10-14,Rural,Female,5908972,2011
state,10,15-19,Rural,Female,3621231,2011
state,10,20-24,Rural,Female,3366524,2011
state,10,25-29,Rural,Female,3382526,2011
state,10,30-34,Rural,Female,3128638,2011
state,10,35-39,Rural,Female,2768886,2011
state,10,40-44,Rural,Female,2106292,2011
state,10,45-49,Rural,Female,1802734,2011
state,10,50-54,Rural,Female,1310457,2011
state,10,55-59,Rural,Female,1298812,2011
state,10,60-64,Rural,Female,1291723,2011
state,10,65-69,Rural,Female,884070,2011
state,10,70-74,Rural,Female,530677,2011
state,10,75-79,Rural,Female,223733,2011
state,10,80+,Rural,Female,280532,2011
state,10,Age not stated,Rural,Female,158478,2011
state,11,0-4,Rural,Female,15841,2011
state,11,5-9,Rural,Female,21824,2011
state,11,10-14,Rural,Female,25603,2011
state,11,15-19,Rural,Female,24816,2011
state,11,20-24,Rural,Female,23538,2011
state,11,25-29,Rural,Female,21153,2011
state,11,30-34,Rural,Female,16624,2011
state,11,35-39,Rural,Female,14315,2011
state,11,40-44,Rural,Female,11709,2011
state,11,45-49,Rural,Female,9710,2011
state,11,50-54,Rural,Female,8060,2011
state,11,55-59,Rural,Female,5829,2011
state,11,60-64,Rural,Female,4904,2011
state,11,65-69,Rural,Female,3948,2011
state,11,70-74,Rural,Female,2656,2011
state,11,75-79,Rural,Female,1586,2011
state,11,80+,Rural,Female,1630,2011
state,11,Age not stated,Rural,Female,456,2011
state,12,0-4,Rural,Female,57180,2011
state,12,5-9,Rural,Female,68111,2011
state,12,10-14,Rural,Female,69046,2011
state,12,15-19,Rural,Female,57103,2011
state,12,20-24,Rural,Female,48868,2011
state,12,25-29,Rural,Female,44957,2011
state,12,30-34,Rural,Female,36286,2011
state,12,35-39,Rural,Female,34322,2011
state,12,40-44,Rural,Female,27111,2011
state,12,45-49,Rural,Female,22316,2011
state,12,50-54,Rural,Female,16201,2011
state,12,55-59,Rural,Female,11158,2011
state,12,60-64,Rural,Female,10603,2011
state,12,65-69,Rural,Female,6591,2011
state,12,70-74,Rural,Female,4599,2011
state,12,75-79,Rural,Female,2220,2011
state,12,80+,Rural,Female,3143,2011
state,12,Age not stated,Rural,Female,532,2011
state,13,0-4,Rural,Female,71280,2011
state,13,5-9,Rural,Female,83504,2011
state,13,10-14,Rural,Female,86491,2011
state,13,15-19,Rural,Female,78567,2011
state,13,20-24,Rural,Female,68637,2011
state,13,25-29,Rural,Female,58543,2011
state,13,30-34,Rural,Female,49710,2011
state,13,35-39,Rural,Female,44103,2011
state,13,40-44,Rural,Female,36818,2011
state,13,45-49,Rural,Female,28701,2011
state,13,50-54,Rural,Female,22142,2011
state,13,55-59,Rural,Female,14853,2011
state,13,60-64,Rural,Female,13303,2011
state,13,65-69,Rural,Female,9009,2011
state,13,70-74,Rural,Female,6803,2011
state,13,75-79,Rural,Female,4023,2011
state,13,80+,Rural,Female,5035,2011
state,13,Age not stated,Rural,Female,542,2011
state,14,0-4,Rural,Female,89311,2011
state,14,5-9,Rural,Female,104308,2011
state,14,10-14,Rural,Female,111628,2011
state,14,15-19,Rural,Female,105133,2011
state,14,20-24,Rural,Female,102516,2011
state,14,25-29,Rural,Female,95261,2011
state,14,30-34,Rural,Female,75779,2011
state,14,35-39,Rural,Female,67986,2011
state,14,40-44,Rural,Female,57665,2011
state,14,45-49,Rural,Female,49541,2011
state,14,50-54,Rural,Female,39480,2011
state,14,55-59,Rural,Female,29046,2011
state,14,60-64,Rural,Female,23348,2011
state,14,65-69,Rural,Female,15329,2011
state,14,70-74,Rural,Female,11287,2011
state,14,75-79,Rural,Female,6695,2011
state,14,80+,Rural,Female,7934,2011
state,14,Age not stated,Rural,Female,2509,2011
state,15,0-4,Rural,Female,32895,2011
state,15,5-9,Rural,Female,31823,2011
state,15,10-14,Rural,Female,29252,2011
state,15,15-19,Rural,Female,24257,2011
state,15,20-24,Rural,Female,25655,2011
state,15,25-29,Rural,Female,22942,2011
state,15,30-34,Rural,Female,18939,2011
state,15,35-39,Rural,Female,15168,2011
state,15,40-44,Rural,Female,11893,2011
state,15,45-49,Rural,Female,11062,2011
state,15,50-54,Rural,Female,9720,2011
state,15,55-59,Rural,Female,6833,2011
state,15,60-64,Rural,Female,5626,2011
state,15,65-69,Rural,Female,3773,2011
state,15,70-74,Rural,Female,2665,2011
state,15,75-79,Rural,Female,1723,2011
state,15,80+,Rural,Female,1948,2011
state,15,Age not stated,Rural,Female,126,2011
state,16,0-4,Rural,Female,126636,2011
state,16,5-9,Rural,Female,130381,2011
state,16,10-14,Rural,Female,138090,2011
state,16,15-19,Rural,Female,135511,2011
state,16,20-24,Rural,Female,142410,2011
state,16,25-29,Rural,Female,123471,2011
state,16,30-34,Rural,Female,97137,2011
state,16,35-39,Rural,Female,94471,2011
state,16,40-44,Rural,Female,78462,2011
state,16,45-49,Rural,Female,66634,2011
state,16,50-54,Rural,Female,50320,2011
state,16,55-59,Rural,Female,36881,2011
state,16,60-64,Rural,Female,33355,2011
state,16,65-69,Rural,Female,25359,2011
state,16,70-74,Rural,Female,19066,2011
state,16,75-79,Rural,Female,10907,2011
state,16,80+,Rural,Female,15733,2011
state,16,Age not stated,Rural,Female,467,2011
state,17,0-4,Rural,Female,173632,2011
state,17,5-9,Rural,Female,163411,2011
state,17,10-14,Rural,Female,155576,2011
state,17,15-19,Rural,Female,124994,2011
state,17,20-24,Rural,Female,112271,2011
state,17,25-29,Rural,Female,96886,2011
state,17,30-34,Rural,Female,70728,2011
state,17,35-39,Rural,Female,66164,2011
state,17,40-44,Rural,Female,54959,2011
state,17,45-49,Rural,Female,46129,2011
state,17,50-54,Rural,Female,32313,2011
