geo_level,geo_code,area,literacy,sex,total,geo_version
district,66,Urban,Literate,Male,151525,2011
district,67,Rural,Literate,Male,379437,2011
district,67,Urban,Literate,Male,219088,2011
district,68,Rural,Literate,Male,409053,2011
district,68,Urban,Literate,Male,282358,2011
state,6,Rural,Literate,Male,6140099,2011
state,6,Urban,Literate,Male,3653968,2011
district,69,Rural,Literate,Male,95926,2011
district,69,Urban,Literate,Male,133936,2011
district,70,Rural,Literate,Male,244282,2011
district,70,Urban,Literate,Male,217006,2011
district,71,Rural,Literate,Male,276833,2011
district,71,Urban,Literate,Male,197960,2011
district,72,Rural,Literate,Male,253287,2011
district,72,Urban,Literate,Male,117541,2011
district,73,Rural,Literate,Male,293066,2011
district,73,Urban,Literate,Male,92716,2011
district,74,Rural,Literate,Male,380886,2011
district,74,Urban,Literate,Male,183630,2011
district,75,Rural,Literate,Male,243714,2011
district,75,Urban,Literate,Male,220422,2011
district,76,Rural,Literate,Male,400112,2011
district,76,Urban,Literate,Male,189769,2011
district,77,Rural,Literate,Male,377967,2011
district,77,Urban,Literate,Male,124082,2011
district,78,Rural,Literate,Male,258814,2011
district,78,Urban,Literate,Male,68657,2011
district,79,Rural,Literate,Male,331990,2011
district,79,Urban,Literate,Male,124978,2011
district,80,Rural,Literate,Male,439026,2011
district,80,Urban,Literate,Male,231174,2011
district,81,Rural,Literate,Male,511763,2011
district,81,Urban,Literate,Male,131395,2011
district,82,Rural,Literate,Male,248850,2011
district,82,Urban,Literate,Male,187175,2011
district,83,Rural,Literate,Male,296833,2011
district,83,Urban,Literate,Male,102647,2011
district,84,Rural,Literate,Male,324741,2011
district,84,Urban,Literate,Male,55699,2011
district,85,Rural,Literate,Male,276558,2011
district,85,Urban,Literate,Male,98895,2011
district,86,Rural,Literate,Male,192288,2011
district,86,Urban,Literate,Male,446378,2011
district,87,Rural,Literate,Male,266086,2011
district,87,Urban,Literate,Male,42349,2011
district,88,Rural,Literate,Male,139717,2011
district,88,Urban,Literate,Male,595223,2011
district,89,Rural,Literate,Male,287360,2011
district,89,Urban,Literate,Male,92336,2011
state,7,Rural,Literate,Male,174327,2011
state,7,Urban,Literate,Male,7020529,2011
district,90,Rural,Literate,Male,87043,2011
district,90,Urban,Literate,Male,1454909,2011
district,91,Rural,Literate,Male,7700,2011
district,91,Urban,Literate,Male,373915,2011
district,92,Rural,Literate,Male,8515,2011
district,92,Urban,Literate,Male,903966,2011
district,93,Rural,Literate,Male,1583,2011
district,93,Urban,Literate,Male,746799,2011
district,94,Rural,Literate,Male,0,2011
district,94,Urban,Literate,Male,65678,2011
district,95,Rural,Literate,Male,0,2011
district,95,Urban,Literate,Male,240518,2011
district,96,Rural,Literate,Male,2563,2011
district,96,Urban,Literate,Male,1091370,2011
district,97,Rural,Literate,Male,61887,2011
district,97,Urban,Literate,Male,963374,2011
district,98,Rural,Literate,Male,5036,2011
district,98,Urban,Literate,Male,1180000,2011
state,8,Rural,Literate,Male,16904589,2011
state,8,Urban,Literate,Male,6783823,2011
district,99,Rural,Literate,Male,496935,2011
district,99,Urban,Literate,Male,213973,2011
district,100,Rural,Literate,Male,490362,2011
district,100,Urban,Literate,Male,133919,2011
district,101,Rural,Literate,Male,471918,2011
district,101,Urban,Literate,Male,310481,2011
district,102,Rural,Literate,Male,486256,2011
district,102,Urban,Literate,Male,210473,2011
district,103,Rural,Literate,Male,625672,2011
district,103,Urban,Literate,Male,190162,2011
district,104,Rural,Literate,Male,1083730,2011
district,104,Urban,Literate,Male,276099,2011
district,105,Rural,Literate,Male,745044,2011
district,105,Urban,Literate,Male,198866,2011
district,106,Rural,Literate,Male,344607,2011
district,106,Urban,Literate,Male,91114,2011
district,107,Rural,Literate,Male,449812,2011
district,107,Urban,Literate,Male,82092,2011
district,108,Rural,Literate,Male,378253,2011
district,108,Urban,Literate,Male,107931,2011
district,109,Rural,Literate,Male,513738,2011
district,109,Urban,Literate,Male,83197,2011
district,110,Rural,Literate,Male,1142333,2011
district,110,Urban,Literate,Male,1412460,2011
district,111,Rural,Literate,Male,754783,2011
district,111,Urban,Literate,Male,240492,2011
district,112,Rural,Literate,Male,875237,2011
district,112,Urban,Literate,Male,227513,2011
district,113,Rural,Literate,Male,765699,2011
district,113,Urban,Literate,Male,500054,2011
district,114,Rural,Literate,Male,173353,2011
district,114,Urban,Literate,Male,37062,2011
district,115,Rural,Literate,Male,710875,2011
district,115,Urban,Literate,Male,72586,2011
district,116,Rural,Literate,Male,487407,2011
district,116,Urban,Literate,Male,56516,2011
district,117,Rural,Literate,Male,224113,2011
district,117,Urban,Literate,Male,85787,2011
district,118,Rural,Literate,Male,488897,2011
district,118,Urban,Literate,Male,178484,2011
district,119,Rural,Literate,Male,501770,2011
district,119,Urban,Literate,Male,424498,2011
district,120,Rural,Literate,Male,364531,2011
district,120,Urban,Literate,Male,113798,2011
district,121,Rural,Literate,Male,283572,2011
district,121,Urban,Literate,Male,88133,2011
district,122,Rural,Literate,Male,572895,2011
district,122,Urban,Literate,Male,204687,2011
district,123,Rural,Literate,Male,308438,2011
district,123,Urban,Literate,Male,74896,2011
district,124,Rural,Literate,Male,379571,2011
district,124,Urban,Literate,Male,36249,2011
district,125,Rural,Literate,Male,462325,2011
district,125,Urban,Literate,Male,51529,2011
district,126,Rural,Literate,Male,398512,2011
district,126,Urban,Literate,Male,116339,2011
district,127,Rural,Literate,Male,283078,2011
district,127,Urban,Literate,Male,482318,2011
district,128,Rural,Literate,Male,332591,2011
district,128,Urban,Literate,Male,100016,2011
district,129,Rural,Literate,Male,375242,2011
district,129,Urban,Literate,Male,91573,2011
district,130,Rural,Literate,Male,712379,2011
district,130,Urban,Literate,Male,261065,2011
district,131,Rural,Literate,Male,220661,2011
district,131,Urban,Literate,Male,29461,2011
state,9,Rural,Literate,Male,51793688,2011
state,9,Urban,Literate,Male,16441276,2011
district,132,Rural,Literate,Male,833060,2011
district,132,Urban,Literate,Male,387054,2011
district,133,Rural,Literate,Male,1032545,2011
district,133,Urban,Literate,Male,415983,2011
district,134,Rural,Literate,Male,942936,2011
district,134,Urban,Literate,Male,298535,2011
district,135,Rural,Literate,Male,879994,2011
district,135,Urban,Literate,Male,477441,2011
district,136,Rural,Literate,Male,470606,2011
district,136,Urban,Literate,Male,159802,2011
district,137,Rural,Literate,Male,456283,2011
district,137,Urban,Literate,Male,144258,2011
district,138,Rural,Literate,Male,606760,2011
district,138,Urban,Literate,Male,647760,2011
district,139,Rural,Literate,Male,388481,2011
district,139,Urban,Literate,Male,101377,2011
district,140,Rural,Literate,Male,558355,2011
district,140,Urban,Literate,Male,1253042,2011
district,141,Rural,Literate,Male,258660,2011
district,141,Urban,Literate,Male,407405,2011
district,142,Rural,Literate,Male,954110,2011
district,142,Urban,Literate,Male,299204,2011
district,143,Rural,Literate,Male,876316,2011
district,143,Urban,Literate,Male,407064,2011
district,144,Rural,Literate,Male,461121,2011
district,144,Urban,Literate,Male,118036,2011
district,145,Rural,Literate,Male,658485,2011
district,145,Urban,Literate,Male,284861,2011
district,146,Rural,Literate,Male,882241,2011
district,146,Urban,Literate,Male,732353,2011
district,147,Rural,Literate,Male,623082,2011
district,147,Urban,Literate,Male,289232,2011
district,148,Rural,Literate,Male,602521,2011
district,148,Urban,Literate,Male,109589,2011
district,149,Rural,Literate,Male,799893,2011
district,149,Urban,Literate,Male,186608,2011
district,150,Rural,Literate,Male,846768,2011
district,150,Urban,Literate,Male,495929,2011
district,151,Rural,Literate,Male,538786,2011
district,151,Urban,Literate,Male,115504,2011
district,152,Rural,Literate,Male,725363,2011
district,152,Urban,Literate,Male,189779,2011
district,153,Rural,Literate,Male,1076152,2011
district,153,Urban,Literate,Male,161005,2011
district,154,Rural,Literate,Male,1214326,2011
district,154,Urban,Literate,Male,183376,2011
district,155,Rural,Literate,Male,1182280,2011
district,155,Urban,Literate,Male,192307,2011
district,156,Rural,Literate,Male,858153,2011
district,156,Urban,Literate,Male,194910,2011
district,157,Rural,Literate,Male,533656,2011
district,157,Urban,Literate,Male,1208784,2011
district,158,Rural,Literate,Male,1046389,2011
district,158,Urban,Literate,Male,119576,2011
district,159,Rural,Literate,Male,504652,2011
district,159,Urban,Literate,Male,150175,2011
district,160,Rural,Literate,Male,506915,2011
district,160,Urban,Literate,Male,96681,2011
district,161,Rural,Literate,Male,477378,2011
district,161,Urban,Literate,Male,146205,2011
district,162,Rural,Literate,Male,449437,2011
district,162,Urban,Literate,Male,96761,2011
district,163,Rural,Literate,Male,625151,2011
district,163,Urban,Literate,Male,67813,2011
district,164,Rural,Literate,Male,594367,2011
district,164,Urban,Literate,Male,1234812,2011
district,165,Rural,Literate,Male,489075,2011
district,165,Urban,Literate,Male,164355,2011
district,166,Rural,Literate,Male,439201,2011
district,166,Urban,Literate,Male,344504,2011
district,167,Rural,Literate,Male,327392,2011
district,167,Urban,Literate,Male,70194,2011
district,168,Rural,Literate,Male,324610,2011
district,168,Urban,Literate,Male,83515,2011
district,169,Rural,Literate,Male,232584,2011
district,169,Urban,Literate,Male,69699,2011
district,170,Rural,Literate,Male,519162,2011
district,170,Urban,Literate,Male,111464,2011
district,171,Rural,Literate,Male,293502,2011
district,171,Urban,Literate,Male,36837,2011
district,172,Rural,Literate,Male,790476,2011
district,172,Urban,Literate,Male,120527,2011
district,173,Rural,Literate,Male,1053356,2011
district,173,Urban,Literate,Male,68025,2011
district,174,Rural,Literate,Male,464180,2011
district,174,Urban,Literate,Male,43099,2011
district,175,Rural,Literate,Male,1587083,2011
district,175,Urban,Literate,Male,612257,2011
district,176,Rural,Literate,Male,899301,2011
district,176,Urban,Literate,Male,111217,2011
district,177,Rural,Literate,Male,703072,2011
district,177,Urban,Literate,Male,135267,2011
district,178,Rural,Literate,Male,743063,2011
district,178,Urban,Literate,Male,103613,2011
district,179,Rural,Literate,Male,1219195,2011
district,179,Urban,Literate,Male,81053,2011
district,180,Rural,Literate,Male,785971,2011
district,180,Urban,Literate,Male,92314,2011
district,181,Rural,Literate,Male,264837,2011
district,181,Urban,Literate,Male,11863,2011
district,182,Rural,Literate,Male,491213,2011
district,182,Urban,Literate,Male,53730,2011
district,183,Rural,Literate,Male,950247,2011
district,183,Urban,Literate,Male,83934,2011
district,184,Rural,Literate,Male,685236,2011
district,184,Urban,Literate,Male,55482,2011
district,185,Rural,Literate,Male,763479,2011
district,185,Urban,Literate,Male,56240,2011
district,186,Rural,Literate,Male,519871,2011
district,186,Urban,Literate,Male,47227,2011
district,187,Rural,Literate,Male,829484,2011
district,187,Urban,Literate,Male,52190,2011
district,188,Rural,Literate,Male,1250910,2011
district,188,Urban,Literate,Male,342980,2011
district,189,Rural,Literate,Male,1121845,2011
district,189,Urban,Literate,Male,61877,2011
district,190,Rural,Literate,Male,955289,2011
district,190,Urban,Literate,Male,123999,2011
district,191,Rural,Literate,Male,1416457,2011
district,191,Urban,Literate,Male,142957,2011
district,192,Rural,Literate,Male,593606,2011
district,192,Urban,Literate,Male,179476,2011
district,193,Rural,Literate,Male,1045031,2011
district,193,Urban,Literate,Male,115929,2011
district,194,Rural,Literate,Male,1432198,2011
district,194,Urban,Literate,Male,133196,2011
district,195,Rural,Literate,Male,1186471,2011
district,195,Urban,Literate,Male,107082,2011
district,196,Rural,Literate,Male,608563,2011
district,196,Urban,Literate,Male,90891,2011
district,197,Rural,Literate,Male,769456,2011
district,197,Urban,Literate,Male,619660,2011
district,198,Rural,Literate,Male,463952,2011
district,198,Urban,Literate,Male,82830,2011
district,199,Rural,Literate,Male,733853,2011
district,199,Urban,Literate,Male,131984,2011
district,200,Rural,Literate,Male,468097,2011
district,200,Urban,Literate,Male,133891,2011
district,201,Rural,Literate,Male,546586,2011
district,201,Urban,Literate,Male,100456,2011
district,202,Rural,Literate,Male,360562,2011
district,202,Urban,Literate,Male,92241,2011
state,10,Rural,Literate,Male,27241830,2011
state,10,Urban,Literate,Male,4366193,2011
district,203,Rural,Literate,Male,956393,2011
district,203,Urban,Literate,Male,134833,2011
district,204,Rural,Literate,Male,1269900,2011
district,204,Urban,Literate,Male,137703,2011
district,205,Rural,Literate,Male,163161,2011
district,205,Urban,Literate,Male,8484,2011
district,206,Rural,Literate,Male,818192,2011
district,206,Urban,Literate,Male,66996,2011
district,207,Rural,Literate,Male,1283625,2011
district,207,Urban,Literate,Male,56460,2011
district,208,Rural,Literate,Male,609988,2011
district,208,Urban,Literate,Male,37684,2011
district,209,Rural,Literate,Male,669568,2011
district,209,Urban,Literate,Male,58075,2011
district,210,Rural,Literate,Male,386310,2011
district,210,Urban,Literate,Male,53611,2011
district,211,Rural,Literate,Male,686513,2011
district,211,Urban,Literate,Male,118748,2011
