,DISTRICT NAME,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
3,ERANAKULAM,16681.12,19158.99,21902.69,25082.24,29592.35,32913.83,37301.69,42969.01,49453.29,14.85,14.32,14.52,17.98,11.22,13.33,15.19,15.09,KERALA
4,IDUKKI,4466.65,5090.36,5639.35,6101.25,7302.45,8669.66,10440.28,11590.28,12768.89,13.96,10.78,8.19,19.69,18.72,20.42,11.02,10.17,KERALA
5,KANNUR,8640.83,9953.32,10952.44,12460.44,14414.58,16501.35,18941.71,22303.84,25346.44,15.19,10.04,13.77,15.68,14.48,14.79,17.75,13.64,KERALA
6,KASARAGOD,3995.04,4487.04,5079.01,5892.13,6283.1,7131.73,8437.04,10209.85,11522.96,12.32,13.19,16.01,6.64,13.51,18.3,21.01,12.86,KERALA
7,KOLLAM,8853.74,10403.22,11555.24,13176.85,15964.57,17441.53,20102.22,23363.72,26437.83,17.5,11.07,14.03,21.16,9.25,15.25,16.22,13.16,KERALA
8,KOTTAYAM,8225.77,9603.85,10843.13,12350.36,14032.46,16282.68,18624.25,21678.72,24253.27,16.75,12.9,13.9,13.62,16.04,14.38,16.4,11.88,KERALA
9,KOZHIKODE,10257.75,11796.17,13331.81,15170.56,17474.07,19848.8,22679.83,26392.76,30314.3,15,13.02,13.79,15.18,13.59,14.26,16.37,14.86,KERALA
10,MALAPPURAM,9592.94,10956.76,12011.96,13657.16,16470.52,18095.57,20856.97,24013.83,27201.83,14.22,9.63,13.7,20.6,9.87,15.26,15.14,13.28,KERALA
11,PALAKKAD,9266.39,10332.08,11902.49,13687.63,15232.42,18661.44,20308.52,24045.4,26949.09,11.5,15.2,15,11.29,22.51,8.83,18.4,12.08,KERALA
12,PATHANAMTHITTA,4630.16,5368.8,6018.9,6923.75,7876.27,9305.7,10881.64,12746.53,14273.7,15.95,12.11,15.03,13.76,18.15,16.94,17.14,11.98,KERALA
13,THIRUVANANTHAPURAM,12845.27,14731.06,16584.41,19082.6,21849.41,24760.99,28176.55,33533.91,38036.35,14.68,12.58,15.06,14.5,13.33,13.79,19.01,13.43,KERALA
14,THRISSUR,11391.85,13073.48,14787.7,16866.68,19286.76,22454.01,25004.8,29342.2,33575.84,14.76,13.11,14.06,14.35,16.42,11.36,17.35,14.43,KERALA
15,WAYANAD,2806.21,3105.92,3200.65,3381.31,3763.63,4491.69,5373.79,6234.9,6920.95,10.68,3.05,5.64,11.31,19.34,19.64,16.02,11,KERALA
2,ANGUL,"5,690.79","5,968.06","6,982.18","8,916.88","10,473.35","10,849.07","10,982.35",NA,NA,4.87,16.99,27.71,17.46,3.59,1.23,NA,NA,ORRISA
3,BALANGIR,"2,430.39","2,648.19","3,151.62","4,068.88","4,506.90","5,240.43","6,721.89",NA,NA,8.96,19.01,29.1,10.77,16.28,28.27,NA,NA,ORRISA
4,BALASORE,"3,251.17","3,510.89","4,214.05","5,410.40","6,141.29","6,952.26","8,359.93",NA,NA,7.99,20.03,28.39,13.51,13.21,20.25,NA,NA,ORRISA
5,BARGARH,"2,045.07","2,216.28","2,597.66","3,292.48","3,791.29","4,226.73","5,125.59",NA,NA,8.37,17.21,26.75,15.15,11.49,21.27,NA,NA,ORRISA
6,BHADRAK,"1,855.46","2,017.33","2,341.49","2,918.65","3,323.91","3,852.89","4,437.87",NA,NA,8.72,16.07,24.65,13.89,15.91,15.18,NA,NA,ORRISA
7,BOUDH,642.51,732.4,863.23,"1,112.53","1,196.99","1,370.51","1,640.93",NA,NA,13.99,17.86,28.88,7.59,14.5,19.73,NA,NA,ORRISA
8,CUTTACK,"5,756.75","6,030.83","7,116.92","8,636.41","9,837.16","11,174.67","13,125.66",NA,NA,4.76,18.01,21.35,13.9,13.6,17.46,NA,NA,ORRISA
9,DEOGARH,477.6,537.59,628.84,753.26,851.03,976,"1,050.65",NA,NA,12.56,16.97,19.79,12.98,14.68,7.65,NA,NA,ORRISA
10,DHENKANAL,"2,005.10","2,215.98","2,620.87","3,336.44","3,649.89","4,152.20","4,860.79",NA,NA,10.52,18.27,27.3,9.39,13.76,17.07,NA,NA,ORRISA
11,GAJAPATI,934.48,991.04,"1,170.04","1,449.63","1,646.87","1,871.34","2,221.40",NA,NA,6.05,18.06,23.9,13.61,13.63,18.71,NA,NA,ORRISA
12,GANJAM,"5,501.09","6,005.36","7,196.21","8,778.97","10,090.72","11,600.29","13,753.48",NA,NA,9.17,19.83,21.99,14.94,14.96,18.56,NA,NA,ORRISA
13,JAGATSINGHPUR,"2,480.82","2,652.35","3,279.59","4,125.28","4,786.27","5,044.83","5,944.29",NA,NA,6.91,23.65,25.79,16.02,5.4,17.83,NA,NA,ORRISA
14,JAJPUR,"3,350.18","3,836.33","4,608.59","5,960.66","6,843.45","6,509.11","9,834.03",NA,NA,14.51,20.13,29.34,14.81,-4.89,51.08,NA,NA,ORRISA
15,JHARSUGUDA,"2,189.95","2,417.45","2,758.83","3,455.32","4,226.47","4,704.17","5,116.33",NA,NA,10.39,14.12,25.25,22.32,11.3,8.76,NA,NA,ORRISA
16,KALAHANDI,"2,052.29","2,298.48","2,580.48","3,413.63","3,914.21","4,445.42","5,518.65",NA,NA,12,12.27,32.29,14.66,13.57,24.14,NA,NA,ORRISA
17,KANDHAMAL,"1,755.79","1,897.98","2,307.50","2,957.01","3,342.84","4,265.81","4,817.42",NA,NA,8.1,21.58,28.15,13.05,27.61,12.93,NA,NA,ORRISA
18,KENDRAPARA,"1,776.02","1,921.18","2,156.19","2,655.18","2,959.31","3,362.49","4,070.80",NA,NA,8.17,12.23,23.14,11.45,13.62,21.07,NA,NA,ORRISA
19,KENDUJHAR,"4,839.35","5,761.93","7,048.04","10,413.17","12,424.69","12,150.10","17,455.80",NA,NA,19.06,22.32,47.75,19.32,-2.21,43.67,NA,NA,ORRISA
20,KHORDHA,"5,467.15","6,133.01","7,407.27","8,766.11","10,112.51","11,267.46","13,638.10",NA,NA,12.18,20.78,18.34,15.36,11.42,21.04,NA,NA,ORRISA
21,KORAPUT,"2,489.25","2,734.62","3,447.15","4,121.32","4,618.01","5,285.26","6,313.78",NA,NA,9.86,26.06,19.56,12.05,14.45,19.46,NA,NA,ORRISA
22,MALKANGIRI,808.6,825.25,997.3,"1,257.93","1,311.60","1,482.99","1,676.05",NA,NA,2.06,20.85,26.13,4.27,13.07,13.02,NA,NA,ORRISA
23,MAYURBHANJ,"3,378.09","3,632.53","4,279.41","5,479.57","6,117.11","6,753.35","8,422.96",NA,NA,7.53,17.81,28.04,11.63,10.4,24.72,NA,NA,ORRISA
24,NABARANGPUR,"1,347.89","1,427.10","1,713.77","2,024.21","2,277.14","2,614.75","3,121.83",NA,NA,5.88,20.09,18.11,12.5,14.83,19.39,NA,NA,ORRISA
25,NAYARGARH,"1,142.44","1,249.52","1,469.85","1,758.23","1,906.72","2,196.41","2,611.38",NA,NA,9.37,17.63,19.62,8.45,15.19,18.89,NA,NA,ORRISA
26,NUAPADA,829.21,899.03,"1,076.21","1,402.46","1,506.59","1,717.31","2,019.27",NA,NA,8.42,19.71,30.31,7.42,13.99,17.58,NA,NA,ORRISA
27,PURI,"2,403.66","2,641.39","2,791.39","3,363.65","3,761.98","4,378.36","5,416.74",NA,NA,9.89,5.68,20.5,11.84,16.38,23.72,NA,NA,ORRISA
28,RAYAGADA,"1,547.34","1,722.90","2,119.60","2,689.57","2,984.02","3,359.15","3,793.02",NA,NA,11.35,23.03,26.89,10.95,12.57,12.92,NA,NA,ORRISA
29,SAMBALPUR,"2,507.28","2,816.31","3,329.73","4,162.63","4,842.17","5,214.20","6,010.76",NA,NA,12.33,18.23,25.01,16.32,7.68,15.28,NA,NA,ORRISA
30,SUBARNAPUR,758.91,843.22,"1,009.44","1,273.86","1,398.44","1,728.79","2,001.78",NA,NA,11.11,19.71,26.19,9.78,23.62,15.79,NA,NA,ORRISA
31,SUNDARGARH,"6,014.81","6,511.94","8,576.03","11,320.11","13,647.80","14,200.07","17,466.35",NA,NA,8.27,31.7,32,20.56,4.05,23,NA,NA,ORRISA
2,AMRITSAR,"11,364.41","12,518.66","10,051.98","11,206.59","12,932.01","14,604.45","16,637.33",NA,NA,10.16,-19.7,11.49,15.4,12.93,13.92,NA,NA,PUNJAB
3,BARNALA,NA,NA,NA,"3,247.54","3,701.16","4,248.48","4,930.54",NA,NA,NA,NA,NA,13.97,14.79,16.05,NA,NA,PUNJAB
4,BATHINDA,"4,271.16","4,854.69","5,686.30","6,879.18","7,917.27","8,727.05","10,136.38",NA,NA,13.66,17.13,20.98,15.09,10.23,16.15,NA,NA,PUNJAB
5,FARIDKOT,"2,161.56","2,458.49","2,861.00","3,334.75","4,004.00","4,351.72","4,967.76",NA,NA,13.74,16.37,16.56,20.07,8.68,14.16,NA,NA,PUNJAB
6,FATEHGARH SAHIB,"2,467.97","2,766.16","3,104.92","3,812.18","4,253.53","5,354.42","5,494.78",NA,NA,12.08,12.25,22.78,11.58,25.88,2.62,NA,NA,PUNJAB
7,FIROZEPUR,"6,248.08","7,072.82","8,152.10","9,590.00","11,352.54","12,451.43","14,398.77",NA,NA,13.2,15.26,17.64,18.38,9.68,15.64,NA,NA,PUNJAB
8,GURDASPUR,"6,662.55","7,618.49","8,756.99","10,319.26","12,051.58","13,463.97","15,778.33",NA,NA,14.35,14.94,17.84,16.79,11.72,17.19,NA,NA,PUNJAB
9,HOSHIARPUR,"5,317.82","5,890.04","7,042.67","8,098.41","9,242.03","10,773.76","13,374.50",NA,NA,10.76,19.57,14.99,14.12,16.57,24.14,NA,NA,PUNJAB
10,JALANDHAR,"8,384.54","9,506.37","11,020.46","13,111.98","14,773.54","16,709.72","19,378.45",NA,NA,13.38,15.93,18.98,12.67,13.11,15.97,NA,NA,PUNJAB
11,KAPURTHALA,"3,151.44","3,603.14","4,119.98","4,854.07","5,648.09","6,630.61","7,567.96",NA,NA,14.33,14.34,17.82,16.36,17.4,14.14,NA,NA,PUNJAB
12,LUDHIANA,"14,740.80","16,731.23","19,702.44","23,941.44","26,970.35","30,233.34","34,095.16",NA,NA,13.5,17.76,21.52,12.65,12.1,12.77,NA,NA,PUNJAB
13,MANSA,"2,303.84","2,615.98","3,094.22","3,682.48","4,260.64","4,964.91","5,747.71",NA,NA,13.55,18.28,19.01,15.7,16.53,15.77,NA,NA,PUNJAB
14,MOGA,"4,081.23","4,436.31","5,384.58","6,868.99","7,723.79","8,937.93","10,031.78",NA,NA,8.7,21.38,27.57,12.44,15.72,12.24,NA,NA,PUNJAB
15,MUKTSAR,"2,744.52","3,183.44","3,669.23","4,595.14","5,307.24","6,214.80","6,789.22",NA,NA,15.99,15.26,25.23,15.5,17.1,9.24,NA,NA,PUNJAB
16,PATIALA,"7,462.19","8,543.41","9,124.38","10,450.98","11,915.27","13,032.99","15,137.01",NA,NA,14.49,6.8,14.54,14.01,9.38,16.14,NA,NA,PUNJAB
17,ROOPNAGAR,"4,280.63","4,743.55","3,261.51","3,886.53","4,423.44","4,926.44","5,662.04",NA,NA,10.81,-31.24,19.16,13.81,11.37,14.93,NA,NA,PUNJAB
18,SAHIBZADA AJIT SINGH NAGAR,NA,NA,"3,272.93","4,510.45","5,221.52","6,465.47","7,146.18",NA,NA,NA,NA,37.81,15.76,23.82,10.53,NA,NA,PUNJAB
19,SANGRUR,"8,192.58","8,984.33","10,668.87","9,607.84","10,826.28","12,138.52","13,855.69",NA,NA,9.66,18.75,-9.95,12.68,12.12,14.15,NA,NA,PUNJAB
20,SHAHID BHAGAT SINGH NAGAR,"3,003.19","3,109.56","3,808.98","4,596.61","5,128.14","6,213.61","6,905.75",NA,NA,3.54,22.49,20.68,11.56,21.17,11.14,NA,NA,PUNJAB
21,TARAN TARN,NA,NA,"4,339.37","5,650.91","6,386.72","7,056.19","8,168.73",NA,NA,NA,NA,30.22,13.02,10.48,15.77,NA,NA,PUNJAB
2,AJMER,"5,493.87","6,832.92","8,493.64","9,507.25","10,520.55","12,032.67",NA,NA,NA,24.37,24.3,11.93,10.66,14.37,NA,NA,NA,RAJASTHAN
3,ALWAR,"7,742.03","8,196.52","10,341.88","11,600.91","14,742.95","17,546.06",NA,NA,NA,5.87,26.17,12.17,27.08,19.01,NA,NA,NA,RAJASTHAN
4,BANSWARA,"2,421.88","2,423.48","2,627.03","3,144.06","3,430.45","3,921.03",NA,NA,NA,0.07,8.4,19.68,9.11,14.3,NA,NA,NA,RAJASTHAN
5,BARAN,"2,729.69","3,061.58","3,267.05","4,330.68","4,661.14","5,246.01",NA,NA,NA,12.16,6.71,32.56,7.63,12.55,NA,NA,NA,RAJASTHAN
6,BARMER,"3,213.20","3,494.49","4,204.65","5,022.84","5,621.95","6,992.80",NA,NA,NA,8.75,20.32,19.46,11.93,24.38,NA,NA,NA,RAJASTHAN
7,BHARATPUR,"3,643.34","4,164.97","4,877.25","5,429.47","6,308.93","7,595.62",NA,NA,NA,14.32,17.1,11.32,16.2,20.39,NA,NA,NA,RAJASTHAN
8,BHILWARA,"6,255.18","6,122.12","8,250.67","8,846.04","11,286.77","12,700.46",NA,NA,NA,-2.13,34.77,7.22,27.59,12.53,NA,NA,NA,RAJASTHAN
9,BIKANER,"4,160.15","4,356.38","5,213.55","6,126.30","7,496.54","8,214.82",NA,NA,NA,4.72,19.68,17.51,22.37,9.58,NA,NA,NA,RAJASTHAN
10,BUNDI,"2,327.47","2,675.24","3,109.54","3,456.96","4,167.24","4,572.76",NA,NA,NA,14.94,16.23,11.17,20.55,9.73,NA,NA,NA,RAJASTHAN
11,CHITTORGARH,"4,014.97","4,360.39","5,560.74","5,854.12","5,424.79","6,120.60",NA,NA,NA,8.6,27.53,5.28,-7.33,12.83,NA,NA,NA,RAJASTHAN
12,CHURU,"2,759.54","2,916.99","3,382.33","4,104.68","5,171.85","5,280.55",NA,NA,NA,5.71,15.95,21.36,26,2.1,NA,NA,NA,RAJASTHAN
13,DAUSA,"2,036.35","2,297.62","2,784.73","3,324.17","3,822.01","4,607.23",NA,NA,NA,12.83,21.2,19.37,14.98,20.54,NA,NA,NA,RAJASTHAN
14,DHOLPUR,"1,427.75","1,710.76","1,982.95","2,224.33","2,702.93","3,206.42",NA,NA,NA,19.82,15.91,12.17,21.52,18.63,NA,NA,NA,RAJASTHAN
15,DUNGARPUR,"1,838.49","1,854.48","2,257.54","2,702.74","2,882.48","3,332.97",NA,NA,NA,0.87,21.73,19.72,6.65,15.63,NA,NA,NA,RAJASTHAN
16,GANGA NAGAR,"4,638.99","5,231.58","6,469.19","7,016.58","9,647.99","10,118.38",NA,NA,NA,12.77,23.66,8.46,37.5,4.88,NA,NA,NA,RAJASTHAN
17,HANUMANGARH,"3,577.26","4,277.76","4,856.81","5,918.95","6,786.86","7,224.87",NA,NA,NA,19.58,13.54,21.87,14.66,6.45,NA,NA,NA,RAJASTHAN
18,JAIPUR,"17,480.26","20,357.87","24,596.56","27,399.30","33,321.44","39,763.30",NA,NA,NA,16.46,20.82,11.39,21.61,19.33,NA,NA,NA,RAJASTHAN
19,JAISALMER,"1,122.41","1,519.77","1,547.76","1,844.43","2,253.13","2,726.07",NA,NA,NA,35.4,1.84,19.17,22.16,20.99,NA,NA,NA,RAJASTHAN
20,JALORE,"2,459.22","2,734.70","3,387.03","3,917.33","4,056.23","5,119.02",NA,NA,NA,11.2,23.85,15.66,3.55,26.2,NA,NA,NA,RAJASTHAN
21,JHALAWAR,"2,538.14","2,523.80","3,127.97","3,588.92","4,401.72","4,946.08",NA,NA,NA,-0.56,23.94,14.74,22.65,12.37,NA,NA,NA,RAJASTHAN
22,JHUNJHUNU,"3,402.01","3,739.70","4,599.39","5,024.92","6,116.75","6,812.38",NA,NA,NA,9.93,22.99,9.25,21.73,11.37,NA,NA,NA,RAJASTHAN
23,JODHPUR,"6,640.08","7,710.66","9,171.68","10,800.59","11,853.75","14,109.05",NA,NA,NA,16.12,18.95,17.76,9.75,19.03,NA,NA,NA,RAJASTHAN
24,KARAULI,"2,277.73","2,493.05","2,975.22","3,473.77","4,123.34","4,906.30",NA,NA,NA,9.45,19.34,16.76,18.7,18.99,NA,NA,NA,RAJASTHAN
25,KOTA,"4,564.14","4,954.54","5,886.79","7,263.36","8,139.47","9,104.76",NA,NA,NA,8.55,18.82,23.38,12.06,11.86,NA,NA,NA,RAJASTHAN
26,NAGAUR,"4,836.34","5,424.59","6,130.03","7,075.78","8,774.97","9,426.55",NA,NA,NA,12.16,13,15.43,24.01,7.43,NA,NA,NA,RAJASTHAN
27,PALI,"4,038.62","4,844.21","6,147.09","6,876.46","7,250.37","8,402.52",NA,NA,NA,19.95,26.9,11.87,5.44,15.89,NA,NA,NA,RAJASTHAN
28,PRATAPGARH,NA,NA,NA,NA,"2,586.07","3,093.33",NA,NA,NA,NA,NA,NA,NA,19.62,NA,NA,NA,RAJASTHAN
29,RAJSAMAND,"2,217.31","2,643.79","3,099.74","3,560.38","4,066.45","4,712.64",NA,NA,NA,19.23,17.25,14.86,14.21,15.89,NA,NA,NA,RAJASTHAN
30,SAWAI MADHOPUR,"2,190.92","2,439.28","2,810.46","3,212.66","3,846.32","4,560.81",NA,NA,NA,11.34,15.22,14.31,19.72,18.58,NA,NA,NA,RAJASTHAN
31,SIKAR,"4,363.38","4,679.82","5,490.26","5,883.67","7,405.60","8,589.28",NA,NA,NA,7.25,17.32,7.17,25.87,15.98,NA,NA,NA,RAJASTHAN
32,SIROHI,"2,259.49","2,503.31","2,982.48","3,334.65","3,827.75","4,397.34",NA,NA,NA,10.79,19.14,11.81,14.79,14.88,NA,NA,NA,RAJASTHAN
33,TONK,"2,447.85","2,661.59","2,919.29","3,556.59","4,221.02","4,505.79",NA,NA,NA,8.73,9.68,21.83,18.68,6.75,NA,NA,NA,RAJASTHAN
34,UDAIPUR,"6,627.59","7,028.16","8,491.42","9,399.25","10,029.52","11,936.40",NA,NA,NA,6.04,20.82,10.69,6.71,19.01,NA,NA,NA,RAJASTHAN
2,AGRA,"7,047.44","8,113.95","9,399.58","10,463.18","11,932.70","14,857.51","17,010.16","19,706.07",NA,15.13,15.84,11.32,14.04,24.51,14.49,15.85,NA,UTTAR PRADESH
3,ALIGARH,"5,114.33","6,240.52","7,240.47","8,147.22","9,324.46","11,061.92","13,256.72","15,128.96",NA,22.02,16.02,12.52,14.45,18.63,19.84,14.12,NA,UTTAR PRADESH
4,ALLAHABAD,"6,955.02","8,977.85","9,990.30","11,977.87","13,703.33","14,955.24","18,687.57","20,138.55",NA,29.08,11.28,19.89,14.41,9.14,24.96,7.76,NA,UTTAR PRADESH
5,AMBEDKAR NAGAR,"1,830.48","2,351.66","2,627.90","3,118.18","3,645.23","4,214.36","4,953.70","5,368.70",NA,28.47,11.75,18.66,16.9,15.61,17.54,8.38,NA,UTTAR PRADESH
6,AMETHI,NA,NA,NA,NA,NA,NA,"4,285.24","5,504.52",NA,NA,NA,NA,NA,NA,NA,28.45,NA,UTTAR PRADESH
7,AMORHA,"3,462.80","3,848.40","4,002.50","4,478.46","5,444.81","5,969.02","5,885.37","9,117.30",NA,11.14,4,11.89,21.58,9.63,-1.4,54.91,NA,UTTAR PRADESH
8,AURAIYYA,"1,417.47","1,764.91","2,084.93","2,644.94","3,132.84","3,300.39","3,782.75","5,122.18",NA,24.51,18.13,26.86,18.45,5.35,14.62,35.41,NA,UTTAR PRADESH
9,AZAMGARH,"3,157.37","4,248.85","4,847.00","5,096.94","5,921.09","7,503.85","9,267.53","8,875.46",NA,34.57,14.08,5.16,16.17,26.73,23.5,-4.23,NA,UTTAR PRADESH
10,BADAUN,"4,055.91","5,569.03","5,944.62","7,379.99","8,895.05","10,542.03","9,866.41","12,504.62",NA,37.31,6.74,24.15,20.53,18.52,-6.41,26.74,NA,UTTAR PRADESH
11,BAGPAT,"2,646.05","3,044.16","3,255.48","3,590.13","4,316.22","5,766.15","7,004.89","6,922.75",NA,15.05,6.94,10.28,20.22,33.59,21.48,-1.17,NA,UTTAR PRADESH
12,BAHRAICH,"2,179.28","3,033.82","3,320.27","3,633.36","4,319.40","4,868.01","5,149.46","6,290.52",NA,39.21,9.44,9.43,18.88,12.7,5.78,22.16,NA,UTTAR PRADESH
13,BALLIA,"2,211.24","3,002.00","3,389.77","3,993.39","4,645.71","5,150.72","6,633.37","7,608.60",NA,35.76,12.92,17.81,16.33,10.87,28.79,14.7,NA,UTTAR PRADESH
14,BALRAMPUR,"1,579.40","2,195.40","2,462.10","2,674.22","3,000.27","3,417.71","3,601.81","5,266.01",NA,39,12.15,8.62,12.19,13.91,5.39,46.2,NA,UTTAR PRADESH
15,BANDA,"1,795.13","2,141.55","2,434.34","2,590.36","3,333.00","3,747.29","4,543.36","5,628.93",NA,19.3,13.67,6.41,28.67,12.43,21.24,23.89,NA,UTTAR PRADESH
16,BARABANKI,"3,984.02","4,676.98","4,961.23","5,519.96","6,824.62","10,342.03","10,794.37","8,073.87",NA,17.39,6.08,11.26,23.64,51.54,4.37,-25.2,NA,UTTAR PRADESH
17,BAREILLY,"5,876.07","7,009.66","7,801.26","9,244.37","10,549.98","12,562.63","13,464.18","19,632.64",NA,19.29,11.29,18.5,14.12,19.08,7.18,45.81,NA,UTTAR PRADESH
18,BASTI,"1,826.59","2,390.40","2,661.92","2,955.61","3,299.41","3,950.24","4,360.71","5,186.16",NA,30.87,11.36,11.03,11.63,19.73,10.39,18.93,NA,UTTAR PRADESH
19,BIJNOR,"5,891.08","7,287.20","7,974.14","9,864.44","11,167.37","13,658.35","14,373.31","15,405.80",NA,23.7,9.43,23.71,13.21,22.31,5.23,7.18,NA,UTTAR PRADESH
20,BULAND SHAHAR,"6,377.36","7,003.02","8,248.99","9,425.56","10,787.32","12,854.54","14,705.35","16,838.97",NA,9.81,17.79,14.26,14.45,19.16,14.4,14.51,NA,UTTAR PRADESH
21,CHANDAULI,"1,951.90","2,439.71","2,969.75","3,195.67","3,815.04","4,000.56","4,574.82","5,596.13",NA,24.99,21.73,7.61,19.38,4.86,14.35,22.32,NA,UTTAR PRADESH
22,CHITRAKOOT,716.83,819.12,826.74,932.34,"1,335.02","1,611.51","1,728.37","4,907.95",NA,14.27,0.93,12.77,43.19,20.71,7.25,183.96,NA,UTTAR PRADESH
23,DEORIA,"2,053.71","2,616.65","2,945.38","3,462.46","3,819.56","4,340.63","5,590.41","6,415.62",NA,27.41,12.56,17.56,10.31,13.64,28.79,14.76,NA,UTTAR PRADESH
24,ETAH,"3,907.01","4,699.82","5,124.85","5,989.53","4,204.62","4,713.18","5,435.24","6,311.45",NA,20.29,9.04,16.87,-29.8,12.1,15.32,16.12,NA,UTTAR PRADESH
25,ETAWAH,"1,976.80","2,054.58","2,403.57","2,773.95","3,232.21","3,578.23","4,181.77","4,865.01",NA,3.93,16.99,15.41,16.52,10.71,16.87,16.34,NA,UTTAR PRADESH
26,FAIZABAD,"2,119.96","2,782.48","2,986.42","3,706.49","4,441.67","5,327.38","6,671.09","7,314.52",NA,31.25,7.33,24.11,19.83,19.94,25.22,9.65,NA,UTTAR PRADESH
27,FARRUKHABAD,"2,290.41","2,593.48","2,854.05","3,194.04","3,717.91","4,501.03","5,332.87","5,338.61",NA,13.23,10.05,11.91,16.4,21.06,18.48,0.11,NA,UTTAR PRADESH
28,FATEHPUR,"2,357.22","3,038.77","3,401.53","4,013.03","4,747.40","5,135.73","6,616.30","7,630.43",NA,28.91,11.94,17.98,18.3,8.18,28.83,15.33,NA,UTTAR PRADESH
29,FIROZABAD,"3,374.33","3,647.88","4,302.32","4,850.63","5,504.15","6,315.28","7,200.60","7,985.95",NA,8.11,17.94,12.74,13.47,14.74,14.02,10.91,NA,UTTAR PRADESH
30,GAUTAMBUDH NAGAR,"7,174.43","7,914.57","13,076.16","14,865.54","16,506.03","18,165.05","18,681.08","24,697.46",NA,10.32,65.22,13.68,11.04,10.05,2.84,32.21,NA,UTTAR PRADESH
31,GHAZIABAD,"8,682.79","10,203.91","12,832.91","14,520.12","16,405.17","18,077.52","19,869.02","24,225.97",NA,17.52,25.76,13.15,12.98,10.19,9.91,21.93,NA,UTTAR PRADESH
32,GHAZIPUR,"2,574.81","3,575.56","4,023.06","4,675.49","5,228.57","6,170.39","7,584.15","8,169.83",NA,38.87,12.52,16.22,11.83,18.01,22.91,7.72,NA,UTTAR PRADESH
33,GONDA,"2,514.68","3,397.61","3,522.55","3,991.19","4,453.38","5,564.16","7,020.79","7,596.98",NA,35.11,3.68,13.3,11.58,24.94,26.18,8.21,NA,UTTAR PRADESH
34,GORAKHPUR,"4,177.79","5,251.57","6,074.48","6,879.82","8,010.62","9,458.87","11,068.62","12,108.21",NA,25.7,15.67,13.26,16.44,18.08,17.02,9.39,NA,UTTAR PRADESH
35,HAMIRPUR,"1,413.21","1,743.57","1,879.42","1,951.34","2,454.06","3,008.99","3,474.38","4,129.97",NA,23.38,7.79,3.83,25.76,22.61,15.47,18.87,NA,UTTAR PRADESH
36,HARDOI,"3,802.14","4,339.75","4,914.15","5,536.48","6,353.47","7,353.49","8,467.91","9,953.67",NA,14.14,13.24,12.66,14.76,15.74,15.15,17.55,NA,UTTAR PRADESH
37,HATHRAS,"2,651.40","2,954.16","3,356.64","3,792.40","4,182.27","5,110.32","6,222.19","6,548.08",NA,11.42,13.62,12.98,10.28,22.19,21.76,5.24,NA,UTTAR PRADESH
38,JALAUN,"2,505.94","2,703.67","3,337.77","3,149.75","4,483.21","4,911.29","5,262.56","6,145.62",NA,7.89,23.45,-5.63,42.34,9.55,7.15,16.78,NA,UTTAR PRADESH
39,JAUNPUR,"2,981.14","4,009.88","4,466.31","5,182.61","5,965.35","6,767.07","7,923.03","8,743.23",NA,34.51,11.38,16.04,15.1,13.44,17.08,10.35,NA,UTTAR PRADESH
40,JHANSI,"3,610.81","4,019.55","4,633.59","5,252.99","6,428.08","7,687.51","8,714.84","10,235.53",NA,11.32,15.28,13.37,22.37,19.59,13.36,17.45,NA,UTTAR PRADESH
41,KANNAUJ,"1,999.51","2,135.17","2,628.67","2,792.36","3,241.84","3,599.23","4,386.65","4,679.84",NA,6.78,23.11,6.23,16.1,11.02,21.88,6.68,NA,UTTAR PRADESH
42,KANPUR DEHAT,"1,921.69","2,403.80","2,683.90","3,043.52","3,767.46","4,125.76","4,734.94","5,415.75",NA,25.09,11.65,13.4,23.79,9.51,14.77,14.38,NA,UTTAR PRADESH
43,KANPUR NAGAR,"9,347.86","10,760.32","12,573.44","14,302.22","16,679.95","20,208.67","23,681.13","25,534.38",NA,15.11,16.85,13.75,16.62,21.16,17.18,7.83,NA,UTTAR PRADESH
44,KANSHIRAM NAGAR,0,0,0,0,"3,070.43","3,903.05","4,437.76","5,997.13",NA,NA,NA,NA,NA,27.12,13.7,35.14,NA,UTTAR PRADESH
45,KAUSHAMBI,"1,482.85","1,990.94","2,073.97","2,386.22","2,754.26","3,198.93","4,143.29","4,726.87",NA,34.26,4.17,15.06,15.42,16.14,29.52,14.08,NA,UTTAR PRADESH
46,KHERI,"4,817.63","5,470.91","5,977.96","6,516.85","7,571.37","9,470.33","10,129.55","13,662.32",NA,13.56,9.27,9.01,16.18,25.08,6.96,34.88,NA,UTTAR PRADESH
