LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
STATE,2011,WEST BENGAL,Urban,6567150,29093002,14964082,14128920,2760756,1417741,1343015,4368163,2239010,2129153,441838,221917,219921,22324502,11970613,10353889,6768500,2993469,3775031,10673874,8504867,2169007,9197145,7658364,1538781,122286,110343,11943,229143,198155,30988,643037,398759,244278,8202679,6951107,1251572,1476729,846503,630226,41859,21416,20443,115883,82060,33823,214559,68682,145877,1104428,674345,430083,1222464,698161,524303,37072,18495,18577,91338,65794,25544,170369,55070,115299,923685,558802,364883,254265,148342,105923,4787,2921,1866,24545,16266,8279,44190,13612,30578,180743,115543,65200,18419128,6459215,11959913
STATE,2011,WEST BENGAL,Rural,13813165,62183113,31844945,30338168,7820710,3992655,3828055,17095107,8764294,8330813,4855115,2428057,2427058,39213779,21848197,17365582,22969334,9996748,12972586,24082481,18211180,5871301,16489485,14019915,2469570,4081481,3830056,251425,5640355,4744931,895424,875091,470280,404811,5892558,4974648,917910,7592996,4191265,3401731,871062,538226,332836,4203461,2427668,1775793,731437,176962,554475,1787036,1048409,738627,5825830,3317706,2508124,661134,421969,239165,3209279,1916691,1292588,544103,135360,408743,1411314,843686,567628,1767166,873559,893607,209928,116257,93671,994182,510977,483205,187334,41602,145732,375722,204723,170999,38100632,13633765,24466867
STATE,2011,UTTARAKHAND,Urban,631889,3049338,1618731,1430607,365038,195407,169631,395851,207483,188368,27084,13978,13106,2266903,1267537,999366,782435,351194,431241,986742,825247,161495,873292,748237,125055,17751,13003,4748,21727,18427,3300,30355,24037,6318,803459,692770,110689,113450,77010,36440,4042,1788,2254,8733,6204,2529,7017,3358,3659,93658,65660,27998,98009,66778,31231,3448,1570,1878,7058,5131,1927,5609,2778,2831,81894,57299,24595,15441,10232,5209,594,218,376,1675,1073,602,1408,580,828,11764,8361,3403,2062596,793484,1269112
STATE,2011,UTTARAKHAND,Rural,1425086,7036954,3519042,3517912,990776,521792,468984,1496665,761103,735562,264819,134691,130128,4614050,2596171,2017879,2422904,922871,1500033,2885533,1726674,1158859,1997332,1322523,674809,1027923,532558,495365,225529,177948,47581,46685,30064,16621,697195,581953,115242,888201,404151,484050,530707,188063,342644,147312,83961,63351,30255,11832,18423,179927,120295,59632,658831,306695,352136,379911,132488,247423,113491,67896,45595,22695,8966,13729,142734,97345,45389,229370,97456,131914,150796,55575,95221,33821,16065,17756,7560,2866,4694,37193,22950,14243,4151421,1792368,2359053
STATE,2011,UTTAR PRADESH,Urban,7762093,44495063,23487515,21007548,5750748,3049986,2700762,5672381,3013055,2659326,103197,54768,48429,29112875,16441276,12671599,15382188,7046239,8335949,13863735,11493883,2369852,11096675,9607952,1488723,473084,427618,45466,655706,572118,83588,924306,706735,217571,9043579,7901481,1142098,2767060,1885931,881129,83822,53631,30191,372938,273491,99447,286434,152505,133929,2023866,1406304,617562,2393281,1625031,768250,75325,48282,27043,307291,229097,78194,231901,124813,107088,1778764,1222839,555925,373779,260900,112879,8497,5349,3148,65647,44394,21253,54533,27692,26841,245102,183465,61637,30631328,11993632,18637696
STATE,2011,UTTAR PRADESH,Rural,25685942,155317278,80992995,74324283,25040583,13135595,11904988,35685227,18663920,17021307,1031076,526315,504761,85284680,51793688,33490992,70032598,29199307,40833291,51950980,38352879,13598101,33538817,27812347,5726470,15103331,13299811,1803520,9094209,7205459,1888750,1485130,962736,522394,7856147,6344341,1511806,18412163,10540532,7871631,3397651,1730473,1667178,9816370,5752374,4063996,1202720,532160,670560,3995422,2525525,1469897,14491868,8531773,5960095,2584473,1355428,1229045,7740137,4685254,3054883,890292,403454,486838,3276966,2087637,1189329,3920295,2008759,1911536,813178,375045,438133,2076233,1067120,1009113,312428,128706,183722,718456,437888,280568,103366298,42640116,60726182
STATE,2011,TRIPURA,Urban,238974,961453,487203,474250,92705,47608,45097,216925,109872,107053,49247,24419,24828,812010,419866,392144,149443,67337,82106,353445,277559,75886,300436,250858,49578,8846,8136,710,9935,8203,1732,4872,3425,1447,276783,231094,45689,53009,26701,26308,1372,781,591,4761,2545,2216,3329,923,2406,43547,22452,21095,40033,22002,18031,1222,688,534,3748,2049,1699,2409,682,1727,32654,18583,14071,12976,4699,8277,150,93,57,1013,496,517,920,241,679,10893,3869,7024,608008,209644,398364
STATE,2011,TRIPURA,Rural,616582,2712464,1387173,1325291,365309,186400,178909,437993,224498,213495,1117566,563908,553658,1992773,1081503,911270,719691,305670,414021,1116076,767767,348309,776583,637023,139560,237861,201981,35880,191928,148647,43281,14424,9389,5035,332370,277006,55364,339493,130744,208749,47868,17970,29898,146994,54711,92283,18871,3748,15123,125760,54315,71445,258529,104727,153802,39459,14917,24542,121257,45946,75311,13835,2723,11112,83978,41141,42837,80964,26017,54947,8409,3053,5356,25737,8765,16972,5036,1025,4011,41782,13174,28608,1596388,619406,976982
STATE,2011,TAMIL NADU,Urban,8996487,34917440,17458910,17458530,3512530,1799726,1712804,4962970,2468684,2494286,134417,67890,66527,27335312,14374652,12960660,7582128,3084258,4497870,14023351,10220443,3802908,12603065,9408720,3194345,329001,235294,93707,981158,567976,413182,563839,271914,291925,10729067,8333536,2395531,1420286,811723,608563,33799,20874,12925,217288,112532,104756,99357,30015,69342,1069842,648302,421540,1208571,692356,516215,31109,19115,11994,181335,95326,86009,75642,22950,52692,920485,554965,365520,211715,119367,92348,2690,1759,931,35953,17206,18747,23715,7065,16650,149357,93337,56020,20894089,7238467,13655622
STATE,2011,TAMIL NADU,Rural,9528495,37229590,18679065,18550525,3911302,2020550,1890752,9475475,4736003,4739472,660280,333178,327102,24502195,13665839,10836356,12727395,5013226,7714169,18861330,11214535,7646795,15339116,9552474,5786642,3526374,2276871,1249503,6252943,3240547,3012396,555619,242723,312896,5004180,3792333,1211847,3522214,1662061,1860153,359283,199440,159843,2155158,921652,1233506,146078,46480,99598,861695,494489,367206,3010774,1444865,1565909,317038,177847,139191,1858949,807778,1051171,111630,36421,75209,723157,422819,300338,511440,217196,294244,42245,21593,20652,296209,113874,182335,34448,10059,24389,138538,71670,66868,18368260,7464530,10903730
STATE,2011,SIKKIM,Urban,35718,153578,80273,73305,14893,7700,7193,7940,3958,3982,39214,19202,20012,123022,67024,55998,30556,13249,17307,64353,46172,18181,56715,41499,15216,596,362,234,428,287,141,733,582,151,54958,40268,14690,7638,4673,2965,273,96,177,678,299,379,363,209,154,6324,4069,2255,6453,3949,2504,226,76,150,507,228,279,283,172,111,5437,3473,1964,1185,724,461,47,20,27,171,71,100,80,37,43,887,596,291,89225,34101,55124
STATE,2011,SIKKIM,Rural,93288,456999,242797,214202,49218,25061,24157,20335,10496,9839,167146,86059,81087,321930,184245,137685,135069,58552,76517,243785,148186,95599,173682,119014,54668,82111,50224,31887,11154,6858,4296,2155,1474,681,78262,60458,17804,70103,29172,40931,34421,12645,21776,13726,5439,8287,1892,682,1210,20064,10406,9658,48012,19719,28293,22080,7835,14245,9815,3773,6042,1202,410,792,14915,7701,7214,22091,9453,12638,12341,4810,7531,3911,1666,2245,690,272,418,5149,2705,2444,213214,94611,118603
STATE,2011,RAJASTHAN,Urban,3216243,17048085,8909250,8138835,2234621,1192577,1042044,2684630,1397001,1287629,545411,288127,257284,11803496,6783823,5019673,5244589,2125427,3119162,5501022,4521607,979415,4884625,4173700,710925,212553,152224,60329,122435,88225,34210,227914,170358,57556,4321723,3762893,558830,616397,347907,268490,48284,16438,31846,83312,31301,52011,45711,17515,28196,439090,282653,156437,523414,301993,221421,40456,13712,26744,68318,27191,41127,37155,14470,22685,377485,246620,130865,92983,45914,47069,7828,2726,5102,14994,4110,10884,8556,3045,5511,61605,36033,25572,11547063,4387643,7159420
STATE,2011,RAJASTHAN,Rural,9494903,51500352,26641747,24858605,8414883,4446599,3968284,9536963,4958563,4578400,8693123,4454816,4238307,26471786,16904589,9567197,25028566,9737158,15291408,24385233,13775469,10609764,16173343,11069837,5103506,9632800,6213533,3419267,2072869,1192814,880055,275153,190152,85001,4192521,3473338,719183,8211890,2705632,5506258,3725233,1136291,2588942,2661048,820329,1840719,171795,57536,114259,1653814,691476,962338,6491836,2104692,4387144,2894339,814497,2079842,2195711,681793,1513918,132127,44586,87541,1269659,563816,705843,1720054,600940,1119114,830894,321794,509100,465337,138536,326801,39668,12950,26718,384155,127660,256495,27115119,12866278,14248841
STATE,2011,PUNJAB,Urban,2154958,10399146,5545989,4853157,1130717,610697,520020,2363193,1243546,1119647,0,0,0,7709480,4277249,3432231,2689666,1268740,1420926,3718163,3078338,639825,3343912,2846792,497120,84504,77799,6705,89172,77407,11765,127891,101617,26274,3042345,2589969,452376,374251,231546,142705,10006,5922,4084,24551,15873,8678,22818,10448,12370,316876,199303,117573,327817,200302,127515,9516,5600,3916,19486,12923,6563,18523,8380,10143,280292,173399,106893,46434,31244,15190,490,322,168,5065,2950,2115,4295,2068,2227,36584,25904,10680,6680983,2467651,4213332
STATE,2011,PUNJAB,Rural,3358113,17344192,9093476,8250716,1945502,1055297,890205,6496986,3396329,3100657,0,0,0,10997657,6158807,4838850,6346535,2934669,3411866,6179199,4995819,1183380,5107024,4417839,689185,1719356,1613978,105378,1078849,936572,142277,172769,114354,58415,2136050,1752935,383115,1072175,577980,494195,120645,55660,64985,395883,209593,186290,62482,22875,39607,493165,289852,203313,822598,461224,361374,89333,44854,44479,289772,165371,124401,46964,16882,30082,396529,234117,162412,249577,116756,132821,31312,10806,20506,106111,44222,61889,15518,5993,9525,96636,55735,40901,11164993,4097657,7067336
STATE,2011,PUDUCHERRY,Urban,207432,852753,417604,435149,88344,44729,43615,85900,41719,44181,0,0,0,676427,346888,329539,176326,70716,105610,297092,227226,69866,277501,215341,62160,2749,2427,322,8173,6332,1841,4343,2387,1956,262236,204195,58041,19591,11885,7706,353,207,146,1959,1065,894,846,278,568,16433,10335,6098,15861,9705,6156,305,174,131,1397,784,613,631,214,417,13528,8533,4995,3730,2180,1550,48,33,15,562,281,281,215,64,151,2905,1802,1103,555661,190378,365283
STATE,2011,PUDUCHERRY,Rural,95018,395200,194907,200293,44514,22798,21716,110425,53793,56632,0,0,0,280882,150490,130392,114318,44417,69901,147876,105705,42171,122188,91068,31120,8014,6760,1254,42434,27078,15356,2030,1133,897,69710,56097,13613,25688,14637,11051,983,639,344,15825,8319,7506,673,249,424,8207,5430,2777,19966,11706,8260,777,515,262,12210,6612,5598,485,178,307,6494,4401,2093,5722,2931,2791,206,124,82,3615,1707,1908,188,71,117,1713,1029,684,247324,89202,158122
STATE,2011,ODISHA,Urban,1547833,7003656,3625933,3377723,747324,390665,356659,969821,490089,479732,595789,299210,296579,5364680,2935129,2429551,1638976,690804,948172,2437875,1961081,476794,2083596,1748422,335174,60360,54680,5680,64631,48858,15773,95767,76965,18802,1862838,1567919,294919,354279,212659,141620,13278,8009,5269,56419,28235,28184,28022,14343,13679,256560,162072,94488,302886,183871,119015,11973,7255,4718,45360,23928,21432,22446,11774,10672,223107,140914,82193,51393,28788,22605,1305,754,551,11059,4307,6752,5576,2569,3007,33453,21158,12295,4565781,1664852,2900929
STATE,2011,ODISHA,Rural,8089987,34970562,17586203,17384359,4525870,2325832,2200038,6218642,3127719,3090923,8994967,4428522,4566445,21377915,12154552,9223363,13592647,5431651,8160996,15103714,9941574,5162140,8623947,7045991,1577956,3219409,2869857,349552,2355909,1697973,657936,345719,238211,107508,2702910,2239950,462960,6479767,2895583,3584184,810942,442804,368138,4263034,1706770,2556264,313572,109696,203876,1092219,636313,455906,5294257,2426755,2867502,655568,372777,282791,3531011,1444381,2086630,243733,87888,155845,863945,521709,342236,1185510,468828,716682,155374,70027,85347,732023,262389,469634,69839,21808,48031,228274,114604,113670,19866848,7644629,12222219
STATE,2011,NCT OF DELHI,Urban,3356425,16368899,8761005,7607894,1955738,1044181,911557,2730126,1444982,1285144,0,0,0,12441167,7020529,5420638,3927732,1740476,2187256,5456822,4650526,806296,5188819,4459142,729677,15917,13868,2049,25351,20797,4554,166466,143975,22491,4981085,4280502,700583,268003,191384,76619,3867,2310,1557,5596,4082,1514,12102,6425,5677,246438,178567,67871,225651,160503,65148,3656,2168,1488,4580,3323,1257,9590,5244,4346,207825,149768,58057,42352,30881,11471,211,142,69,1016,759,257,2512,1181,1331,38613,28799,9814,10912077,4110479,6801598
STATE,2011,NCT OF DELHI,Rural,79574,419042,226321,192721,56716,31259,25457,82183,43818,38365,0,0,0,296600,174327,122273,122442,51994,70448,130227,111500,18727,118510,103568,14942,11842,10357,1485,6123,4835,1288,2660,2094,566,97885,86282,11603,11717,7932,3785,1772,923,849,2405,1638,767,624,264,360,6916,5107,1809,9599,6426,3173,1611,843,768,1850,1255,595,537,224,313,5601,4104,1497,2118,1506,612,161,80,81,555,383,172,87,40,47,1315,1003,312,288815,114821,173994
STATE,2011,NAGALAND,Urban,118511,570966,299177,271789,73589,37302,36287,0,0,0,404135,200676,203459,445771,239936,205835,125195,59241,65954,213762,143445,70317,173505,125820,47685,11856,5578,6278,2601,1639,962,2937,1676,1261,156111,116927,39184,40257,17625,22632,9063,3317,5746,4684,2085,2599,3642,1145,2497,22868,11078,11790,30660,13416,17244,6177,2089,4088,3409,1473,1936,2740,906,1834,18334,8948,9386,9597,4209,5388,2886,1228,1658,1275,612,663,902,239,663,4534,2130,2404,357204,155732,201472
STATE,2011,NAGALAND,Rural,277491,1407536,725472,682064,217482,112483,104999,0,0,0,1306838,665351,641487,896663,484021,412642,510873,241451,269422,760360,403912,356448,567674,316384,251290,408523,202643,205880,19970,11260,8710,6588,3055,3533,132593,99426,33167,192686,87528,105158,108260,47916,60344,35707,16873,18834,9671,3607,6064,39048,19132,19916,111318,47710,63608,59348,23988,35360,19379,8736,10643,5599,1844,3755,26992,13142,13850,81368,39818,41550,48912,23928,24984,16328,8137,8191,4072,1763,2309,12056,5990,6066,647176,321560,325616
STATE,2011,MIZORAM,Urban,117041,571771,286204,285567,75147,38072,37075,920,598,322,528648,258307,270341,484841,243129,241712,86930,43075,43855,234323,145649,88674,197206,128417,68789,32240,19689,12551,14016,9029,4987,3903,2110,1793,147047,97589,49458,37117,17232,19885,5169,1980,3189,8686,3904,4782,1447,539,908,21815,10809,11006,28581,12881,15700,3841,1424,2417,6431,2772,3659,1155,441,714,17154,8244,8910,8536,4351,4185,1328,556,772,2255,1132,1123,292,98,194,4661,2565,2096,337448,140555,196893
STATE,2011,MIZORAM,Rural,105812,525435,269135,256300,93384,47489,45895,298,209,89,507467,257987,249480,363334,195400,167934,162101,73735,88366,252382,145091,107291,217824,134888,82936,170274,101909,68365,12448,7572,4876,1556,999,557,33546,24408,9138,34558,10203,24355,21920,5904,16016,6637,1983,4654,946,246,700,5055,2070,2985,25143,6745,18398,15295,3530,11765,5123,1424,3699,676,154,522,4049,1637,2412,9415,3458,5957,6625,2374,4251,1514,559,955,270,92,178,1006,433,573,273053,124044,149009
STATE,2011,MEGHALAYA,Urban,117486,595450,297572,297878,77944,39895,38049,5782,3071,2711,418970,199171,219799,469851,238243,231608,125599,59329,66270,212161,141897,70264,190616,130090,60526,7068,4205,2863,3220,2202,1018,1257,831,426,179071,122852,56219,21545,11807,9738,1287,509,778,2921,1520,1401,477,222,255,16860,9556,7304,18366,10101,8265,1118,431,687,2186,1109,1077,360,165,195,14702,8396,6306,3179,1706,1473,169,78,91,735,411,324,117,57,60,2158,1160,998,383289,155675,227614
STATE,2011,MEGHALAYA,Rural,430573,2371439,1194260,1177179,490592,248751,241841,11573,6086,5487,2136891,1070557,1066334,1315154,675636,639518,1056285,518624,537661,973458,561812,411646,730959,455430,275529,404202,239600,164602,111422,68258,43164,10712,5628,5084,204623,141944,62679,242499,106382,136117,82118,33016,49102,80801,34362,46439,8042,2719,5323,71538,36285,35253,190995,83435,107560,64462,25204,39258,63863,27360,36503,5688,1948,3740,56982,28923,28059,51504,22947,28557,17656,7812,9844,16938,7002,9936,2354,771,1583,14556,7362,7194,1397981,632448,765533
STATE,2011,MANIPUR,Urban,172339,834154,411702,422452,101411,52041,49370,49479,24588,24891,111614,54423,57191,625617,329724,295893,208537,81978,126559,345449,205323,140126,260681,172653,88028,38287,28233,10054,9401,5399,4002,17517,5542,11975,195476,133479,61997,84768,32670,52098,12207,5668,6539,14873,4836,10037,16321,2633,13688,41367,19533,21834,67658,26784,40874,9528,4363,5165,10341,3520,6821,12879,1996,10883,34910,16905,18005,17110,5886,11224,2679,1305,1374,4532,1316,3216,3442,637,2805,6457,2628,3829,488705,206379,282326
STATE,2011,MANIPUR,Rural,385520,2021640,1026884,994756,273946,142443,131503,47849,24275,23574,1055808,533856,521952,1282859,710134,572725,738781,316750,422031,959161,534085,425076,713482,442482,271000,428481,252929,175552,36208,19135,17073,28407,8467,19940,220386,161951,58435,245679,91603,154076,95056,40279,54777,54436,16662,37774,29111,4228,24883,67076,30434,36642,192573,71800,120773,72480,30420,42060,40949,12224,28725,22510,3184,19326,56634,25972,30662,53106,19803,33303,22576,9859,12717,13487,4438,9049,6601,1044,5557,10442,4462,5980,1062479,492799,569680
STATE,2011,MAHARASHTRA,Urban,11206781,50818259,26704022,24114237,5637563,2967992,2669571,5781079,2942706,2838373,1504136,774569,729567,40071529,21866109,18205420,10746730,4837913,5908817,18777007,14729804,4047203,17252824,13800617,3452207,307961,242667,65294,619647,395560,224087,546345,342365,203980,15778871,12820025,2958846,1524183,929187,594996,44849,24766,20083,145500,71830,73670,99392,36503,62889,1234442,796088,438354,1307184,797478,509706,41686,23100,18586,124872,62252,62620,77319,28872,48447,1063307,683254,380053,216999,131709,85290,3163,1666,1497,20628,9578,11050,22073,7631,14442,171135,112834,58301,32041252,11974218,20067034
STATE,2011,MAHARASHTRA,Rural,13214738,61556074,31539034,30017040,7688954,4067399,3621555,7494819,3825053,3669766,9006077,4540456,4465621,41482761,23391475,18091286,20073313,8147559,11925754,30650871,17887071,12763800,26510066,16188697,10321369,11170114,6938469,4231645,10449281,5451250,4998031,444965,264175,180790,4445706,3534803,910903,4140805,1698374,2442431,1046449,386411,660038,2271712,855898,1415814,134724,47712,87012,687920,408353,279567,3521064,1442501,2078563,868588,314626,553962,1977391,746396,1230995,102358,36900,65458,572727,344579,228148,619741,255873,363868,177861,71785,106076,294321,109502,184819,32366,10812,21554,115193,63774,51419,30905203,13651963,17253240
STATE,2011,MADHYA PRADESH,Urban,4012978,20069405,10462918,9606487,2483664,1306179,1177485,3074318,1597148,1477170,1039910,531635,508275,14569183,8119346,6449837,5500222,2343572,3156650,6858935,5404993,1453942,5972561,4873882,1098679,329691,273625,56066,326980,220609,106371,299484,197323,102161,5016406,4182325,834081,886374,531111,355263,40937,17004,23933,174084,80381,93703,63603,27380,36223,607750,406346,201404,745984,451323,294661,34985,14872,20113,145254,68725,76529,52200,22851,29349,513545,344875,168670,140390,79788,60602,5952,2132,3820,28830,11656,17174,11403,4529,6874,94205,61471,32734,13210470,5057925,8152545
STATE,2011,MADHYA PRADESH,Rural,11080278,52557404,27149388,25408016,8325731,4329993,3995738,8268002,4311490,3956512,14276874,7187769,7089105,28281986,17054982,11227004,24275418,10094406,14181012,24715198,14741977,9973221,16729558,11488183,5241375,7885302,5765124,2120178,6303841,3807102,2496739,348081,198997,149084,2192334,1716960,475374,7985640,3253794,4731846,1588509,535311,1053198,5387362,2202565,3184797,248091,87348,160743,761678,428570,333108,6563542,2695259,3868283,1257790,410936,846854,4525061,1876356,2648705,190853,66946,123907,589838,341021,248817,1422098,558535,863563,330719,124375,206344,862301,326209,536092,57238,20402,36836,171840,87549,84291,27842206,12407411,15434795
STATE,2011,LAKSHADWEEP,Urban,8864,50332,25880,24452,5440,2847,2593,0,0,0,47657,23763,23894,41265,22074,19191,9067,3806,5261,14100,11531,2569,8579,7259,1320,0,0,0,0,0,0,77,57,20,8502,7202,1300,5521,4272,1249,0,0,0,0,0,0,94,51,43,5427,4221,1206,3441,2722,719,0,0,0,0,0,0,61,31,30,3380,2691,689,2080,1550,530,0,0,0,0,0,0,33,20,13,2047,1530,517,36232,14349,21883
STATE,2011,LAKSHADWEEP,Rural,2710,14141,7243,6898,1815,950,865,0,0,0,13463,6752,6711,11288,5949,5339,2853,1294,1559,4653,3787,866,2225,1878,347,0,0,0,0,0,0,20,9,11,2205,1869,336,2428,1909,519,0,0,0,0,0,0,73,17,56,2355,1892,463,1921,1543,378,0,0,0,0,0,0,60,11,49,1861,1532,329,507,366,141,0,0,0,0,0,0,13,6,7,494,360,134,9488,3456,6032
STATE,2011,KERALA,Urban,3704113,15934926,7619358,8315568,1649291,840356,808935,1221292,593989,627303,51747,24995,26752,13586504,6572473,7014031,2348422,1046885,1301537,5277106,3944068,1333038,4399556,3436750,962806,63281,55014,8267,158504,118792,39712,93639,63222,30417,4084132,3199722,884410,877550,507318,370232,19943,13011,6932,81343,48909,32434,28456,11996,16460,747808,433402,314406,711174,426550,284624,16627,10921,5706,63735,40116,23619,21993,9440,12553,608819,366073,242746,166376,80768,85608,3316,2090,1226,17608,8793,8815,6463,2556,3907,138989,67329,71660,10657820,3675290,6982530
STATE,2011,KERALA,Rural,4149641,17471135,8408054,9063081,1823664,927888,895776,1818281,883819,934462,433092,213208,219884,14549320,7132430,7416890,2921815,1275624,1646191,6341957,4507501,1834456,4930191,3743078,1187113,481651,410532,71119,760632,510300,250332,104642,68889,35753,3583266,2753357,829909,1411766,764423,647343,105378,68349,37029,322371,179994,142377,46285,20508,25777,937732,495572,442160,1117029,635147,481882,83091,55059,28032,258394,149475,108919,35622,16378,19244,739922,414235,325687,294737,129276,165461,22287,13290,8997,63977,30519,33458,10663,4130,6533,197810,81337,116473,11129178,3900553,7228625
STATE,2011,KARNATAKA,Urban,5410370,23625962,12037303,11588659,2643388,1358222,1285166,2979229,1493039,1486190,819196,410992,408204,17998146,9615034,8383112,5627816,2422269,3205547,9370367,6958690,2411677,8336276,6346816,1989460,213607,173892,39715,324158,193441,130717,317150,175202,141948,7481361,5804281,1677080,1034091,611874,422217,26112,14139,11973,94592,42722,51870,73477,33295,40182,839910,521718,318192,895099,527722,367377,24618,13338,11280,84234,37989,46245,58663,26286,32377,727584,450109,277475,138992,84152,54840,1494,801,693,10358,4733,5625,14814,7009,7805,112326,71609,40717,14255595,5078613,9176982
STATE,2011,KARNATAKA,Rural,7946657,37469335,18929354,18539981,4517645,2317069,2200576,7495763,3771506,3724257,3429791,1723762,1706029,22649176,12893437,9755739,14820159,6035917,8784242,18502230,11311426,7190804,15060905,10003021,5057884,5824702,4394613,1430089,4795763,2415657,2380106,378691,178311,200380,4061749,3014440,1047309,3441325,1308405,2132920,516228,171064,345164,1941450,631459,1309991,143909,52175,91734,839738,453707,386031,3036548,1140372,1896176,450101,145760,304341,1788696,577507,1211189,114942,40907,74035,682809,376198,306611,404777,168033,236744,66127,25304,40823,152754,53952,98802,28967,11268,17699,156929,77509,79420,18967105,7617928,11349177
STATE,2011,JHARKHAND,Urban,1525412,7933061,4153829,3779232,1021988,535653,486335,832781,430945,401836,776892,387084,389808,5684991,3199788,2485203,2248070,954041,1294029,2321122,1940627,380495,1931755,1671020,260735,34706,28847,5859,41312,32993,8319,55970,41640,14330,1799767,1567540,232227,389367,269607,119760,27512,14590,12922,55438,32068,23370,19838,10424,9414,286579,212525,74054,323025,229122,93903,20838,12268,8570,42733,26392,16341,15993,8738,7255,243461,181724,61737,66342,40485,25857,6674,2322,4352,12705,5676,7029,3845,1686,2159,43118,30801,12317,5611939,2213202,3398737
STATE,2011,JHARKHAND,Rural,4729369,25055073,12776486,12278587,4367507,2231494,2136013,3152863,1612513,1540350,7868150,3928323,3939827,12643078,7682731,4960347,12411995,5093755,7318240,10777152,6484142,4293010,4886840,3563422,1323418,1966656,1415112,551544,1197462,796592,400870,193078,101012,92066,1529644,1250706,278938,5890312,2920720,2969592,1785958,832633,953325,3141840,1480047,1661793,186276,72399,113877,776238,535641,240597,4630514,2415831,2214683,1392182,680304,711878,2478027,1230214,1247813,140149,57300,82849,620156,448013,172143,1259798,504889,754909,393776,152329,241447,663813,249833,413980,46127,15099,31028,156082,87628,68454,14277921,6292344,7985577
STATE,2011,JAMMU & KASHMIR,Urban,566285,3433242,1866185,1567057,425897,230214,195683,173965,93251,80714,86466,46182,40284,2319283,1372922,946361,1113959,493263,620696,1209632,983084,226548,974335,852631,121704,25153,21718,3435,18215,16666,1549,21578,16681,4897,909389,797566,111823,235297,130453,104844,39779,13935,25844,30959,21627,9332,17874,5340,12534,146685,89551,57134,187618,108755,78863,25144,10078,15066,21762,16064,5698,13252,4317,8935,127460,78296,49164,47679,21698,25981,14635,3857,10778,9197,5563,3634,4622,1023,3599,19225,11255,7970,2223610,883101,1340509
STATE,2011,JAMMU & KASHMIR,Rural,1553433,9108060,4774477,4333583,1593008,854141,738867,751026,392981,358045,1406833,730075,676758,4747950,2891749,1856201,4360110,1882728,2477382,3113081,2212006,901075,1669814,1453157,216657,541316,464699,76617,141304,126405,14899,57248,41833,15415,929946,820220,109726,1443267,758849,684418,639068,265175,373893,357227,249646,107581,75886,27484,48402,371086,216544,154542,1013949,566924,447025,427328,190079,237249,250844,184199,66645,53923,21727,32196,281854,170919,110935,429318,191925,237393,211740,75096,136644,106383,65447,40936,21963,5757,16206,89232,45625,43607,5994979,2562471,3432508
STATE,2011,HIMACHAL PRADESH,Urban,170770,688552,371528,317024,65076,34605,30471,122717,64228,58489,17734,9222,8512,568000,314769,253231,120552,56759,63793,270038,207015,63023,240392,191115,49277,5585,4041,1544,2350,1772,578,5189,4110,1079,227268,181192,46076,29646,15900,13746,7895,2159,5736,2409,1487,922,1332,579,753,18010,11675,6335,23508,13017,10491,5174,1383,3791,1966,1213,753,1063,462,601,15305,9959,5346,6138,2883,3255,2721,776,1945,443,274,169,269,117,152,2705,1716,989,418514,164513,254001
