LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
DISTRICT,2011,Kollam,Urban,292696,1187158,566281,620877,116701,59194,57507,119789,58040,61749,2875,1374,1501,1006911,486958,519953,180247,79323,100924,399208,289857,109351,321499,240249,81250,4600,4091,509,11168,9497,1671,6252,4288,1964,299479,222373,77106,77709,49608,28101,2180,1687,493,7135,5594,1541,2787,1555,1232,65607,40772,24835,65153,42105,23048,1831,1393,438,5801,4554,1247,2175,1251,924,55346,34907,20439,12556,7503,5053,349,294,55,1334,1040,294,612,304,308,10261,5865,4396,787950,276424,511526
DISTRICT,2011,Kollam,Rural,376679,1448217,680687,767530,137559,69705,67854,208474,99761,108713,7886,3821,4065,1233362,587387,645975,214855,93300,121555,512817,354505,158312,373800,269660,104140,36867,33350,3517,45472,38219,7253,7599,5490,2109,283862,192601,91261,139017,84845,54172,13046,10348,2698,28418,21491,6927,4873,2809,2064,92680,50197,42483,111585,70089,41496,10178,8104,2074,22756,17728,5028,3743,2227,1516,74908,42030,32878,27432,14756,12676,2868,2244,624,5662,3763,1899,1130,582,548,17772,8167,9605,935400,326182,609218
DISTRICT,2011,Kolkata,Urban,1024928,4496694,2356766,2139928,339323,175564,163759,241932,128053,113879,10684,5729,4955,3588137,1926915,1661222,908557,429851,478706,1795740,1412466,383274,1576419,1294266,282153,7413,4702,2711,8903,6767,2136,53463,41487,11976,1506640,1241310,265330,219321,118200,101121,8626,3454,5172,3485,2006,1479,14975,6312,8663,192235,106428,85807,200690,106205,94485,8502,3375,5127,3013,1647,1366,12212,5139,7073,176963,96044,80919,18631,11995,6636,124,79,45,472,359,113,2763,1173,1590,15272,10384,4888,2700954,944300,1756654
DISTRICT,2011,Kolkata,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT,2011,Kolhapur,Urban,271721,1230009,631843,598166,128986,69159,59827,148820,74767,74053,7888,4070,3818,971976,520045,451931,258033,111798,146235,436797,345945,90852,406585,328550,78035,11176,9403,1773,11989,6801,5188,19756,13478,6278,363664,298868,64796,30212,17395,12817,1050,646,404,2671,1309,1362,3657,1117,2540,22834,14323,8511,26372,15550,10822,960,602,358,2378,1191,1187,2918,953,1965,20116,12804,7312,3840,1845,1995,90,44,46,293,118,175,739,164,575,2718,1519,1199,793212,285898,507314
DISTRICT,2011,Kolhapur,Rural,568519,2645992,1348815,1297177,279956,150362,129594,355641,178623,177018,22318,11408,10910,1853869,1039715,814154,792123,309100,483023,1267257,779259,487998,1101978,721522,380456,582880,364529,218351,195801,99525,96276,28248,18232,10016,295049,239236,55813,165279,57737,107542,65766,19400,46366,55567,16927,38640,8271,2731,5540,35675,18679,16996,140627,48321,92306,55155,15423,39732,48620,14652,33968,6947,2309,4638,29905,15937,13968,24652,9416,15236,10611,3977,6634,6947,2275,4672,1324,422,902,5770,2742,3028,1378735,569556,809179
DISTRICT,2011,Kolasib,Urban,9662,46878,23821,23057,6801,3423,3378,67,47,20,41027,20332,20695,38625,19760,18865,8253,4061,4192,18971,12196,6775,15025,10314,4711,4474,2924,1550,2066,1327,739,183,130,53,8302,5933,2369,3946,1882,2064,1026,443,583,1765,860,905,84,46,38,1071,533,538,3434,1603,1831,973,420,553,1486,688,798,66,39,27,909,456,453,512,279,233,53,23,30,279,172,107,18,7,11,162,77,85,27907,11625,16282
DISTRICT,2011,Kolasib,Rural,7608,37077,19097,17980,6681,3387,3294,17,12,5,32582,16585,15997,27270,14387,12883,9807,4710,5097,17701,10537,7164,14672,9699,4973,11006,7240,3766,1275,775,500,160,123,37,2231,1561,670,3029,838,2191,1486,395,1091,815,254,561,158,33,125,570,156,414,2279,609,1670,1190,319,871,440,134,306,137,23,114,512,133,379,750,229,521,296,76,220,375,120,255,21,10,11,58,23,35,19376,8560,10816
DISTRICT,2011,Kolar,Urban,106290,480073,240965,239108,54192,27386,26806,138443,68528,69915,6732,3549,3183,366798,192325,174473,113275,48640,64635,172778,130607,42171,153176,117908,35268,3766,3054,712,6019,3666,2353,8993,4082,4911,134398,107106,27292,19602,12699,6903,394,252,142,1349,837,512,2343,1112,1231,15516,10498,5018,17035,11058,5977,361,230,131,1175,735,440,1983,973,1010,13516,9120,4396,2567,1641,926,33,22,11,174,102,72,360,139,221,2000,1378,622,307295,110358,196937
DISTRICT,2011,Kolar,Rural,227058,1056328,535431,520897,116231,59459,56772,327424,164018,163406,72143,36448,35695,649421,371785,277636,406907,163646,243261,545094,323441,221653,431414,276268,155146,161702,111044,50658,136030,70512,65518,7768,4228,3540,125914,90484,35430,113680,47173,66507,17195,6399,10796,57835,21310,36525,5074,1812,3262,33576,17652,15924,99741,41376,58365,14876,5425,9451,52574,19525,33049,4143,1454,2689,28148,14972,13176,13939,5797,8142,2319,974,1345,5261,1785,3476,931,358,573,5428,2680,2748,511234,211990,299244
