LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,UNNAMED: 64
DISTRICT,2001,Samastipur,Rural,555189,3271338,1694987,1576351,691040,356506,334534,610975,315635,295340,2871,2465,406,1132912,756279,376633,2138426,938708,1199718,1040495,796930,243565,815107,703287,111820,247967,226755,21212,361531,295554,65977,33049,24789,8260,172560,156189,16371,225388,93643,131745,41594,15988,25606,143949,57410,86539,12393,3696,8697,27452,16549,10903,2230843,898057,1332786,
DISTRICT,2001,Salem,Urban,331439,1390184,711180,679004,156253,82098,74155,187179,95017,92162,5199,2705,2494,915130,515623,399507,475054,195557,279497,571620,418680,152940,526621,397832,128789,32260,20725,11535,52934,29333,23601,68021,45420,22601,373406,302354,71052,44999,20848,24151,1593,598,995,17931,6875,11056,5610,1395,4215,19865,11980,7885,818564,292500,526064,
DISTRICT,2001,Salem,Rural,405123,1626162,852453,773709,195606,108031,87575,288559,149374,139185,98722,49988,48734,819312,506149,313163,806850,346304,460546,883025,524259,358766,753225,476815,276410,253111,153298,99813,228865,117379,111486,53332,34724,18608,217917,171414,46503,129800,47444,82356,14274,4192,10082,88171,29200,58971,7298,1899,5399,20057,12153,7904,743137,328194,414943,
DISTRICT,2001,Saiha,Urban,3350,19826,10237,9589,3265,1715,1550,11,6,5,18839,9501,9338,15469,8125,7344,4357,2112,2245,5971,3970,2001,4830,3505,1325,1049,628,421,133,81,52,106,88,18,3542,2708,834,1141,465,676,143,43,100,595,250,345,60,15,45,343,157,186,13855,6267,7588,
DISTRICT,2001,Saiha,Rural,7759,41230,21005,20225,7926,3991,3935,1,1,0,39903,19972,19931,25514,13865,11649,15716,7140,8576,21010,10951,10059,15924,9419,6505,12994,6997,5997,133,80,53,59,41,18,2738,2301,437,5086,1532,3554,4025,1051,2974,541,187,354,24,11,13,496,283,213,20220,10054,10166,
DISTRICT,2001,Sahibganj,Urban,16392,98131,52244,45887,16635,8521,8114,12716,6756,5960,4406,2405,2001,58046,34664,23382,40085,17580,22505,24185,21026,3159,20360,18336,2024,836,778,58,2108,1835,273,953,638,315,16463,15085,1378,3825,2690,1135,179,103,76,593,382,211,619,178,441,2434,2027,407,73946,31218,42728,
DISTRICT,2001,Sahibganj,Rural,156712,829639,425418,404221,177705,89990,87715,47034,24335,22699,266017,132817,133200,217783,147052,70731,611856,278366,333490,363860,223397,140463,258047,190026,68021,95762,75489,20273,71523,55955,15568,16363,8231,8132,74399,50351,24048,105813,33371,72442,22615,7430,15185,52330,18416,33914,9971,1253,8718,20897,6272,14625,465779,202021,263758,
DISTRICT,2001,Saharsa,Urban,20462,125167,67718,57449,21303,10949,10354,10557,5588,4969,447,251,196,73482,45305,28177,51685,22413,29272,30348,26991,3357,26070,24130,1940,1224,1156,68,2358,1900,458,644,548,96,21844,20526,1318,4278,2861,1417,153,74,79,1579,678,901,276,124,152,2270,1985,285,94819,40727,54092,
DISTRICT,2001,Saharsa,Rural,247991,1383015,721714,661301,295627,154844,140783,232055,119587,112468,4195,2151,2044,392095,276858,115237,990920,444856,546064,559119,358686,200433,385496,307107,78389,137783,120841,16942,192425,136742,55683,7261,5461,1800,48027,44063,3964,173623,51579,122044,46336,10214,36122,113339,34224,79115,3917,1031,2886,10031,6110,3921,823896,363028,460868,
DISTRICT,2001,Saharanpur,Urban,118720,747572,399970,347602,118697,63589,55108,67265,35788,31477,39,35,4,427130,246911,180219,320442,153059,167383,197946,184111,13835,181077,170522,10555,5309,5116,193,6757,6408,349,8619,7730,889,160392,151268,9124,16869,13589,3280,118,84,34,2388,2010,378,853,466,387,13510,11029,2481,549626,215859,333767,
