LEVEL,YEAR,NAME,AREA,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,UNNAMED: 64
STATE,2001,WEST BENGAL,Urban,4601261,22427251,11849976,10577275,2295219,1178368,1116851,2927630,1518822,1408808,270428,138693,131735,16356374,9191040,7165334,6070877,2658936,3411941,7592048,6368163,1223885,6917003,5943106,973897,58549,49871,8678,78019,65994,12025,350402,220367,130035,6430033,5606874,823159,675045,425057,249988,9525,5921,3604,44421,29332,15089,103345,31726,71619,517754,358078,159676,14835203,5481813,9353390,
STATE,2001,WEST BENGAL,Rural,11270822,57748946,29616009,28132937,9119003,4645812,4473191,15524925,7950837,7574088,4136366,2085231,2051135,30840027,18261386,12578641,26908919,11354623,15554296,21889642,16019881,5869761,16106580,13551865,2554715,4497477,4133017,364460,4444915,3678911,766004,1085976,557679,528297,6078212,5182258,895954,5783062,2468016,3315046,1088371,466401,621970,2795602,1305999,1489603,632347,107408,524939,1266742,588208,678534,35859304,13596128,22263176,
STATE,2001,UTTARANCHAL,Urban,417505,2179074,1181334,997740,287672,153701,133971,261064,138685,122379,15920,8526,7394,1540435,894555,645880,638639,286779,351860,635194,559466,75728,576785,515317,61468,11741,8286,3455,10190,9007,1183,12003,9101,2902,542851,488923,53928,58409,44149,14260,2173,677,1496,4973,3498,1475,3591,1240,2351,47672,38734,8938,1543880,621868,922012,
STATE,2001,UTTARANCHAL,Rural,1185737,6310275,3144590,3165685,1072360,559248,513112,1256122,642087,614035,240209,122808,117401,3565347,2114320,1451027,2744928,1030270,1714658,2498842,1436711,1062131,1745562,1123925,621637,1055906,522717,533189,132434,113792,18642,37024,25804,11220,520198,461612,58586,753280,312786,440494,500296,152742,347554,112086,64197,47889,19830,7599,12231,121068,88248,32820,3811433,1707879,2103554,
STATE,2001,UTTAR PRADESH,Urban,5384559,34539582,18407899,16131683,5365415,2838591,2526824,4331781,2317998,2013783,12135,6558,5577,20349500,11951234,8398266,14190082,6456665,7733417,9307872,8210873,1096999,8094895,7363191,731704,373891,340908,32983,289052,259671,29381,675830,531920,143910,6756122,6230692,525430,1212977,847682,365295,38872,16532,22340,180542,116880,63662,191437,74206,117231,802126,640064,162062,25231710,10197026,15034684,
STATE,2001,UTTAR PRADESH,Rural,20373081,131658339,69157470,62500869,26259213,13670442,12588771,30816596,16184840,14631756,95828,49276,46552,55369784,36950179,18419605,76288555,32207291,44081264,44675952,32770685,11905267,31242754,26975069,4267685,18105974,15985894,2120080,5667495,4556706,1110789,1416126,1079960,336166,6053159,5352509,700650,13433198,5795616,7637582,3648825,1136553,2512272,7263822,3312342,3951480,747771,260459,487312,1772780,1086262,686518,86982387,36386785,50595602,
STATE,2001,TRIPURA,Urban,124621,545750,278587,267163,53269,27342,25927,100101,50519,49582,25429,13240,12189,439324,234193,205131,106426,44394,62032,177114,143864,33250,164470,135951,28519,2227,2082,145,2505,2196,309,2238,1473,765,157500,130200,27300,12644,7913,4731,202,116,86,915,707,208,958,223,735,10569,6867,3702,368636,134723,233913,
STATE,2001,TRIPURA,Rural,539713,2653453,1363638,1289815,383177,194660,188517,455623,232667,222956,967997,491080,476917,1582775,916514,666261,1070678,447124,623554,982447,687482,294965,747822,606103,141719,250116,201744,48372,166014,124981,41033,17658,10728,6930,314034,268650,45384,234625,81379,153246,60755,17020,43735,106698,34756,71942,14438,2406,12032,52734,27197,25537,1671006,676156,994850,
STATE,2001,TAMIL NADU,Urban,6381600,27483998,13869415,13614583,3002516,1535621,1466895,3548614,1773743,1774871,100178,50171,50007,20205047,10973973,9231074,7278951,2895442,4383509,10318514,7739671,2578843,9467240,7264121,2203119,322620,224050,98570,862684,505575,357109,572905,279999,292906,7709031,6254497,1454534,851274,475550,375724,20391,9034,11357,241180,108772,132408,81130,18413,62717,508573,339331,169242,17165484,6129744,11035740,
STATE,2001,TAMIL NADU,Rural,8284383,34921681,17531494,17390187,4232644,2189995,2042649,8308890,4159182,4149708,551143,278746,272397,20319498,11835689,8483809,14602183,5695805,8906378,17559768,10360726,7199042,14290543,9039189,5251354,4416199,2883493,1532706,5200102,2768067,2432035,688154,314026,374128,3986088,3073603,912485,3269225,1321537,1947688,356829,145912,210917,2333664,873946,1459718,157572,36151,121421,421160,265528,155632,17361913,7170768,10191145,
STATE,2001,SIKKIM,Urban,12998,59870,32710,27160,6178,3215,2963,3293,1661,1632,9496,4691,4805,42957,24589,18368,13841,6323,7518,22716,17081,5635,20996,15832,5164,39,21,18,28,18,10,218,158,60,20711,15635,5076,1720,1249,471,9,3,6,5,2,3,31,19,12,1675,1225,450,34082,13831,20251,
STATE,2001,SIKKIM,Rural,101225,480981,255774,225207,72017,36627,35390,23872,12146,11726,101909,52249,49660,191178,113156,78022,128589,57090,71499,163506,100179,63327,128948,87296,41652,63909,36787,27122,5557,3539,2018,1796,1332,464,57686,45638,12048,34558,12883,21675,22357,7831,14526,5247,1769,3478,746,268,478,6208,3015,3193,156261,70067,86194,
STATE,2001,RAJASTHAN,Urban,2263241,13214375,6993371,6221004,2063613,1093339,970274,1954536,1025523,929013,379876,205263,174613,8496586,5100831,3395755,4717789,1892540,2825249,3910232,3316266,593966,3474846,3069778,405068,174656,121743,52913,42937,31087,11850,184092,137492,46600,3073161,2779456,293705,435386,246488,188898,44036,9618,34418,44216,15094,29122,47208,12756,34452,299926,209020,90906,9304143,3677105,5627038,
STATE,2001,RAJASTHAN,Rural,7054434,43292813,22426640,20866173,8587389,4486277,4101112,7739926,4042156,3697770,6717830,3445719,3272111,19205424,12946326,6259098,24087389,9480314,14607075,19856423,11379536,8476887,13962042,9771540,4190502,9407373,6089141,3318232,965480,623075,342405,317220,235591,81629,3271969,2823733,448236,5894381,1607996,4286385,3514001,842224,2671777,1471086,386076,1085010,129471,33689,95782,779823,346007,433816,23436390,11047104,12389286,
STATE,2001,PUDUCHERRY,Urban,142572,648619,323258,325361,75338,38305,37033,69226,34113,35113,0,0,0,486346,259817,226529,162273,63441,98832,214889,169684,45205,203914,163070,40844,1810,1685,125,10041,7149,2892,3514,1942,1572,188549,152294,36255,10975,6614,4361,88,60,28,2006,847,1159,645,190,455,8236,5517,2719,433730,153574,280156,
STATE,2001,PUDUCHERRY,Rural,72966,325726,163703,162023,41821,21260,20561,88545,44027,44518,0,0,0,210021,118941,91080,115705,44762,70943,127766,88986,38780,113453,82135,31318,8701,7724,977,49553,29482,20071,1854,1046,808,53345,43883,9462,14313,6851,7462,301,168,133,10651,4639,6012,326,70,256,3035,1974,1061,197960,74717,123243,
STATE,2001,PUNJAB,Urban,1552296,8262511,4468449,3794062,995103,553945,441158,1710469,906474,803995,0,0,0,5748539,3250916,2497623,2513972,1217533,1296439,2767123,2371164,395959,2587507,2265025,322482,63370,57592,5778,74220,64943,9277,96589,75131,21458,2353328,2067359,285969,179616,106139,73477,3057,1371,1686,21606,14122,7484,16273,4356,11917,138680,86290,52390,5495388,2097285,3398103,
STATE,2001,PUNJAB,Rural,2796284,16096488,8516596,7579892,2176726,1209856,966870,5318254,2807876,2510378,0,0,0,9008431,5191377,3817054,7088057,3325219,3762838,6360351,4589049,1771302,5248225,4161003,1087222,1830654,1655664,174990,983402,827926,155476,148252,87388,60864,2285917,1590025,695892,1112126,428046,684080,167986,48242,119744,410633,197149,213484,72656,11923,60733,460851,170732,290119,9736137,3927547,5808590,
STATE,2001,ODISHA,Urban,1119518,5517238,2911600,2605638,662452,342620,319832,703275,360866,342409,446723,229373,217350,3924451,2258801,1665650,1592787,652799,939988,1689519,1428311,261208,1517270,1327323,189947,42855,38799,4056,40966,31581,9385,44109,33771,10338,1389340,1223172,166168,172249,100988,71261,6894,4217,2677,36213,16243,19970,14807,4935,9872,114335,75593,38742,3827719,1483289,2344430,
STATE,2001,ODISHA,Rural,6618547,31287422,15748970,15538452,4696358,2401932,2294426,5378788,2712412,2666376,7698358,3837410,3860948,15912604,9733532,6179072,15374818,6015438,9359380,12586969,8373695,4213274,8071999,6677417,1394582,3392315,2965855,426460,2057192,1538863,518329,360099,224380,135719,2262393,1948319,314074,4514970,1696278,2818692,805597,338820,466777,2864733,1000509,1864224,282548,56925,225623,562092,300024,262068,18700453,7375275,11325178,
STATE,2001,NAGALAND,Urban,64928,342787,187425,155362,48481,25005,23476,0,0,0,230004,118195,111809,249397,142020,107377,93390,45405,47985,106357,82109,24248,95642,75839,19803,3129,1444,1685,554,306,248,2000,1093,907,89959,72996,16963,10715,6270,4445,1764,727,1037,481,225,256,1261,450,811,7209,4868,2341,236430,105316,131114,
STATE,2001,NAGALAND,Rural,263129,1647249,859716,787533,241197,122519,118678,0,0,0,1544022,795008,749014,882926,498181,384745,764323,361535,402788,741439,406859,334580,608335,348972,259363,455548,231208,224340,11505,7024,4481,9560,4840,4720,131722,105900,25822,133104,57887,75217,88404,37548,50856,18367,8430,9937,9052,2810,6242,17281,9099,8182,905810,452857,452953,
STATE,2001,MANIPUR,Urban,101997,575968,286681,289287,74910,38196,36714,39235,19339,19896,35229,17267,17962,397252,220428,176824,178716,66253,112463,222126,128842,93284,164617,109795,54822,20161,14424,5737,8410,5034,3376,15479,5276,10203,120567,85061,35506,57509,19047,38462,8938,3988,4950,12700,4427,8273,13555,1531,12024,22316,9101,13215,353842,157839,196003,
STATE,2001,MANIPUR,Rural,273098,1590820,808953,781867,233675,119486,114189,20802,10595,10207,705912,357052,348860,913282,533038,380244,677538,275915,401623,723087,398374,324713,494747,320432,174315,265648,160445,105203,33409,20353,13056,27684,9061,18623,168006,130573,37433,228340,77942,150398,84958,35425,49533,59111,20114,38997,40202,4679,35523,44069,17724,26345,867733,410579,457154,
STATE,2001,MIZORAM,Urban,89183,441006,226383,214623,63268,32229,31039,207,150,57,408427,203044,205383,363106,187225,175881,77900,39158,38742,211115,124153,86962,160851,104766,56085,38241,21185,17056,6789,4112,2677,2898,1704,1194,112923,77765,35158,50264,19387,30877,10981,3842,7139,10317,3975,6342,1550,426,1124,27416,11144,16272,229891,102230,127661,
STATE,2001,MIZORAM,Rural,86951,447567,232726,214841,80466,40947,39519,65,62,3,430883,219919,210964,298339,162880,135459,149228,69846,79382,256044,138855,117189,201599,120662,80937,164634,91829,72805,4051,2598,1453,1474,1043,431,31440,25192,6248,54445,18193,36252,42476,13641,28835,5626,2090,3536,1178,303,875,5165,2159,3006,191523,93871,97652,
STATE,2001,MEGHALAYA,Urban,85731,454111,229088,225023,67416,34234,33182,4074,2170,1904,310192,149737,160455,333702,173517,160185,120409,55571,64838,147615,100396,47219,130473,92330,38143,4214,2584,1630,3294,2044,1250,1882,1325,557,121083,86377,34706,17142,8066,9076,2270,824,1446,3782,1671,2111,617,227,390,10473,5344,5129,306496,128692,177804,
STATE,2001,MEGHALAYA,Rural,333119,1864711,946999,917712,400563,202981,197582,7065,3750,3315,1682670,846830,835840,824173,440755,383418,1040538,506244,534294,822531,468095,354436,626538,393364,233174,376107,221967,154140,91644,58144,33500,12035,6151,5884,146752,107102,39650,195993,74731,121262,84419,29643,54776,72974,29029,43945,6691,1655,5036,31909,14404,17505,1042180,478904,563276,
STATE,2001,MAHARASHTRA,Urban,8403224,41100980,21941919,19159061,5242298,2747349,2494949,3787827,1950173,1837654,1090739,564906,525833,30652673,17473167,13179506,10448307,4468752,5979555,13911920,11503459,2408461,12894249,10887802,2006447,217897,167118,50779,359154,210367,148787,369591,217123,152468,11947607,10293194,1654413,1017671,615657,402014,26085,10075,16010,141388,50319,91069,99983,24906,75077,750215,530357,219858,27189060,10438460,16750600,
STATE,2001,MAHARASHTRA,Rural,11173512,55777647,28458677,27318970,8428828,4399083,4029745,6093829,3112889,2980940,7486537,3782848,3703689,33313270,19711796,13601474,22464377,8746881,13717496,27261431,15348636,11912795,21853804,13528493,8325311,9963811,6013866,3949945,7282065,3731285,3550780,440495,276763,163732,4167433,3506579,660854,5407627,1820143,3587484,1605482,489637,1115845,3032655,932063,2100592,179249,48069,131180,590241,350374,239867,28516216,13110041,15406175,
STATE,2001,MADHYA PRADESH,Urban,2915725,15967145,8412559,7554586,2338470,1226121,1112349,2240451,1175054,1065397,787026,411562,375464,10820306,6280269,4540037,5146839,2132290,3014549,4893293,3988452,904841,4325953,3668773,657180,266542,212786,53756,156034,99722,56312,257502,154646,102856,3645875,3201619,444256,567340,319679,247661,37848,10551,27297,108245,40137,68108,63570,16535,47035,357677,252456,105221,11073852,4424107,6649745,
STATE,2001,MADHYA PRADESH,Rural,7996300,44380878,23031093,21349785,8443744,4353726,4090018,6914726,3629827,3284899,11446448,5783678,5662770,20772257,13392005,7380252,23608621,9639088,13969533,20900226,12205916,8694310,14776619,10387506,4389113,8645299,6176582,2468717,3724871,2294176,1430695,473514,291391,182123,1932935,1625357,307578,6123607,1818410,4305197,2088217,482857,1605360,3411520,1084333,2327187,238727,56555,182172,385143,194665,190478,23480652,10825177,12655475,
STATE,2001,LAKSHADWEEP,Urban,4329,26967,13940,13027,3566,1877,1689,0,0,0,25112,12517,12595,20737,11312,9425,6230,2628,3602,7347,6220,1127,5815,5076,739,0,0,0,0,0,0,101,58,43,5714,5018,696,1532,1144,388,0,0,0,0,0,0,362,195,167,1170,949,221,19620,7720,11900,
STATE,2001,LAKSHADWEEP,Rural,5664,33683,17191,16492,5525,2764,2761,0,0,0,32209,16094,16115,23946,13199,10747,9737,3992,5745,8007,6984,1023,5895,5212,683,0,0,0,0,0,0,54,41,13,5841,5171,670,2112,1772,340,0,0,0,0,0,0,385,243,142,1727,1529,198,25676,10207,15469,
STATE,2001,KERALA,Urban,1716097,8266925,4017332,4249593,935460,477794,457666,570216,277577,292639,14170,6902,7268,6832319,3395962,3436357,1434606,621370,813236,2612777,2033258,579519,2238823,1783626,455197,24519,20696,3823,71395,49851,21544,74231,47997,26234,2068678,1665082,403596,373954,249632,124322,5650,3616,2034,42375,25238,17137,20049,7169,12880,305880,213609,92271,5654148,1984074,3670074,
STATE,2001,KERALA,Rural,5010259,23574449,11451282,12123167,2857686,1457233,1400453,2553725,1247537,1306188,350019,173267,176752,18653369,9357640,9295729,4921080,2093642,2827438,7671110,5732387,1938723,5998150,4677067,1321083,561841,494675,67166,950164,664921,285243,201423,113022,88401,4284722,3404449,880273,1672960,1055320,617640,132145,83051,49094,556917,338344,218573,73964,23449,50515,909934,610476,299458,15903339,5718895,10184444,
STATE,2001,KARNATAKA,Urban,3676036,17961529,9249960,8711569,2246720,1158401,1088319,2146687,1094430,1052257,529456,270165,259291,12662850,7012120,5650730,5298679,2237840,3060839,6406988,4981103,1425885,5902224,4702033,1200191,187513,156078,31435,233564,133734,99830,311815,144367,167448,5169332,4267854,901478,504764,279070,225694,11822,4089,7733,91444,32168,59276,51604,11626,39978,349894,231187,118707,11554541,4268857,7285684,
STATE,2001,KARNATAKA,Rural,6725882,34889033,17648958,17240075,4935380,2532557,2402823,6417243,3245315,3171928,2934530,1486073,1448457,17772112,10649091,7123021,17116921,6999867,10117054,17127803,10254252,6873551,13462535,9194812,4267723,5999419,4511992,1487427,3550288,1827634,1722654,483397,224332,259065,3429431,2630854,798577,3665268,1059440,2605828,685102,160681,524421,2351646,627391,1724255,112849,24766,88083,515671,246602,269069,17761230,7394706,10366524,
STATE,2001,JHARKHAND,Urban,1062557,5993741,3205441,2788300,846501,438610,407891,601226,318544,282682,587054,298779,288275,4073471,2408021,1665450,1920270,797420,1122850,1539439,1357713,181726,1341441,1212549,128892,21578,18144,3434,16606,13296,3310,36104,28895,7209,1267153,1152214,114939,197998,145164,52834,9140,4655,4485,24020,13380,10640,12184,5767,6417,152654,121362,31292,4454302,1847728,2606574,
STATE,2001,JHARKHAND,Rural,3736524,20952088,10679596,10272492,4110326,2083426,2026900,2588094,1322039,1266055,6500014,3267181,3232833,7703730,5238836,2464894,13248358,5440760,7807598,8569591,5302143,3267448,5105341,3921518,1183823,2634245,1970407,663838,1035719,744805,290914,246389,163538,82851,1188988,1042768,146220,3464250,1380625,2083625,1224543,412165,812378,1774952,713841,1061111,136288,39266,97022,328467,215353,113114,12382497,5377453,7005044,
STATE,2001,JAMMU & KASHMIR,Urban,401411,2516638,1383274,1133364,270838,144585,126253,134139,71876,62263,51491,28620,22871,1615208,991010,624198,901430,392264,509166,829129,711392,117737,746039,666981,79058,21988,19360,2628,9889,9136,753,36161,29139,7022,678001,609346,68655,83090,44411,38679,9893,3872,6021,9207,6746,2461,19400,3951,15449,44590,29842,14748,1687509,671882,1015627,
STATE,2001,JAMMU & KASHMIR,Rural,1167108,7627062,3977652,3649410,1214965,620809,594156,636016,331380,304636,1054488,550329,504159,3192078,2069618,1122460,4434984,1908034,2526950,2924686,1968549,956137,1862629,1559977,302652,926546,773027,153519,93200,84177,9023,99529,69508,30021,743354,633265,110089,1062057,408572,653485,633087,208276,424811,134125,90280,43845,79382,23664,55718,215463,86352,129111,4702376,2009103,2693273,
STATE,2001,HIMACHAL PRADESH,Urban,141792,595581,331867,263714,62509,33892,28617,99120,53167,45953,7527,4161,3366,474165,274252,199913,121416,57615,63801,220110,179947,40163,205010,170742,34268,4667,2695,1972,812,675,137,2628,2200,428,196903,165172,31731,15100,9205,5895,3313,892,2421,761,505,256,700,269,431,10326,7539,2787,375471,151920,223551,
STATE,2001,HIMACHAL PRADESH,Rural,1079797,5482319,2756073,2726246,730628,384534,346094,1403050,710166,692884,237060,118388,118672,3567456,2004134,1563322,1914863,751939,1162924,2772351,1506711,1265640,1758872,1162619,596253,1084457,576112,508345,35344,25824,9520,32289,25471,6818,606782,535212,71570,1013479,344092,669387,862433,254613,607820,57254,28654,28600,16902,6094,10808,76890,54731,22159,2709968,1249362,1460606,
STATE,2001,HARYANA,Urban,1170339,6115304,3310965,2804339,853389,471961,381428,880193,471514,408679,0,0,0,4165224,2436821,1728403,1950080,874144,1075936,1925879,1629905,295974,1722084,1507255,214829,51691,41875,9816,28875,22715,6160,59349,48169,11180,1582169,1394496,187673,203795,122650,81145,8108,2134,5974,25543,11080,14463,15285,4478,10807,154859,104958,49901,4189425,1681060,2508365,
STATE,2001,HARYANA,Rural,2541980,15029260,8052988,6976272,2482148,1361694,1120454,3210917,1717071,1493846,0,0,0,7928453,5043388,2885065,7100807,3009600,4091207,6451587,4085621,2365966,4519240,3425749,1093491,2172951,1605288,567663,578996,439739,139257,93672,66951,26721,1673621,1313771,359850,1932347,659872,1272475,785264,206250,579014,645407,243599,401808,46449,12471,33978,455227,197552,257675,8577673,3967367,4610306,
STATE,2001,GOA,Urban,149583,670577,346703,323874,74630,38791,35839,13071,6671,6400,376,195,181,502947,275444,227503,167630,71259,96371,248403,189570,58833,220390,172924,47466,2616,1490,1126,1629,1004,625,4535,3222,1313,211610,167208,44402,28013,16646,11367,1894,668,1226,3101,1374,1727,1485,676,809,21533,13928,7605,422174,157133,265041,
STATE,2001,GOA,Rural,145229,677091,340545,336546,71338,36547,34791,10720,5376,5344,190,104,86,482615,265588,217027,194476,74957,119519,274452,185648,88804,204915,154069,50846,27062,16875,10187,10213,5854,4359,5704,4021,1683,161936,127319,34617,69537,31579,37958,18823,6675,12148,20863,7738,13125,3022,1072,1950,26829,16094,10735,402639,154897,247742,
STATE,2001,GUJARAT,Urban,3749504,18930250,10067806,8862444,2446463,1331621,1114842,1412274,738860,673414,614523,319115,295408,13489753,7717732,5772021,5440497,2350074,3090423,6262209,5427848,834361,5911033,5270475,640558,93109,79171,13938,127400,90348,37052,120467,81577,38890,5570057,5019379,550678,351176,157373,193803,12138,2228,9910,51049,16922,34127,47959,7434,40525,240030,130789,109241,12668041,4639958,8028083,
STATE,2001,GUJARAT,Rural,5941858,31740767,16317771,15422996,5085941,2668527,2417414,2180441,1127423,1053018,6866637,3471002,3395635,16337997,10115541,6222456,15402770,6202230,9200540,14993312,9049438,5943874,11114041,8210091,2903950,4617985,3651752,966233,2921313,1913788,1007525,185672,141967,43705,3389071,2502584,886487,3879271,839347,3039924,1079449,173546,905903,2061896,488593,1573303,75584,12857,62727,662342,164351,497991,16747455,7268333,9479122,
STATE,2001,NCT OF DELHI,Urban,2553579,12905780,7085147,5820633,1858689,994134,864555,2154877,1163682,991195,0,0,0,9050813,5322741,3728072,3854967,1762406,2092561,4244170,3702069,542101,4043839,3553773,490066,9753,7688,2065,5726,4178,1548,120087,102064,18023,3908273,3439843,468430,200331,148296,52035,977,399,578,1692,1096,596,12676,5267,7409,184986,141534,43452,8661610,3383078,5278532,
STATE,2001,NCT OF DELHI,Rural,179804,944727,522087,422640,158160,85484,72676,188378,101500,86878,0,0,0,613951,378106,235845,330776,143981,186795,301064,258032,43032,273677,240572,33105,21557,16780,4777,4903,3897,1006,5890,4654,1236,241327,215241,26086,27387,17460,9927,5144,1973,3171,3452,2053,1399,1379,537,842,17412,12897,4515,643663,264055,379608,
STATE,2001,DAMAN & DIU,Urban,12482,57348,28906,28442,7342,3778,3564,1918,962,956,2809,1457,1352,41159,22896,18263,16189,6010,10179,20311,15551,4760,19067,15127,3940,68,39,29,31,19,12,344,193,151,18624,14876,3748,1244,424,820,14,4,10,21,5,16,283,6,277,926,409,517,37037,13355,23682,
STATE,2001,DAMAN & DIU,Rural,23204,100856,63606,37250,13236,6907,6329,2920,1536,1384,11188,5733,5455,66441,48096,18345,34415,15510,18905,52480,45018,7462,48455,43747,4708,2675,1782,893,414,244,170,250,173,77,45116,41548,3568,4025,1271,2754,1277,183,1094,857,79,778,303,9,294,1588,1000,588,48376,18588,29788,
STATE,2001,DADRA & NAGAR HAVELI,Urban,11648,50463,29834,20629,7779,4120,3659,1270,679,591,9815,4974,4841,36007,23358,12649,14456,6476,7980,22580,19580,3000,21168,19119,2049,967,688,279,199,127,72,121,105,16,19881,18199,1682,1412,461,951,482,95,387,304,74,230,51,3,48,575,289,286,27883,10254,17629,
STATE,2001,DADRA & NAGAR HAVELI,Rural,33938,170027,91832,78195,32420,16188,16232,2834,1480,1354,127410,62689,64721,67897,48791,19106,102130,43041,59089,91542,56255,35287,75016,52037,22979,31320,15903,15417,6746,3387,3359,570,342,228,36380,32405,3975,16526,4218,12308,6701,1386,5315,7466,1841,5625,108,42,66,2251,949,1302,78485,35577,42908,
STATE,2001,CHHATTISGARH,Urban,817904,4185747,2166775,2018972,590936,304913,286023,519667,264474,255193,351761,181248,170513,2896583,1664236,1232347,1289164,502539,786625,1302197,1035880,266317,1170798,965741,205057,44295,31167,13128,37000,19529,17471,41890,26371,15519,1047613,888674,158939,131399,70139,61260,8530,3419,5111,32306,10692,21614,7115,2436,4679,83448,53592,29856,2883550,1130895,1752655,
STATE,2001,CHHATTISGARH,Rural,3273647,16648056,8307443,8340613,2963980,1495500,1468480,1899055,948720,950335,6264835,3106086,3158749,8276566,5047159,3229407,8371490,3260284,5111206,8377674,4495979,3881695,5883797,3777194,2106603,3444377,2215538,1228839,1515083,807159,707924,116801,76688,40113,807536,677809,129727,2493877,718785,1775092,813929,216353,597576,1506969,425179,1081790,32885,10365,22520,140094,66888,73206,8270382,3811464,4458918,
STATE,2001,CHANDIGARH,Urban,183885,808515,450122,358393,101197,54859,46338,142857,77770,65087,0,0,0,584515,342999,241516,224000,107123,116877,300219,248126,52093,290821,242116,48705,599,463,136,223,175,48,2593,1851,742,287406,239627,47779,9398,6010,3388,39,18,21,42,21,21,546,175,371,8771,5796,2975,508296,201996,306300,
STATE,2001,CHANDIGARH,Rural,22580,92120,56816,35304,14416,7805,6611,14740,8417,6323,0,0,0,58730,39687,19043,33390,17129,16261,40203,36293,3910,38168,34934,3234,1200,1058,142,222,202,20,574,445,129,36172,33229,2943,2035,1359,676,303,148,155,76,63,13,167,33,134,1489,1115,374,51917,20523,31394,
STATE,2001,BIHAR,Urban,1336998,8681800,4648799,4033001,1407574,731616,675958,870053,463455,406598,40649,22105,18544,5232658,3131366,2101292,3449142,1517433,1931709,2222037,1938181,283856,1940046,1750593,189453,103470,93954,9516,188738,151108,37630,111001,85888,25113,1536837,1419643,117194,281991,187588,94403,15047,7862,7185,83367,46138,37229,33856,14106,19750,149721,119482,30239,6459763,2710618,3749145,
STATE,2001,BIHAR,Rural,12407132,74316709,38594996,35721713,15398489,7921089,7477400,12178555,6321221,5857334,717702,371009,346693,25876919,17513010,8363909,48439790,21081986,27357804,25752569,18544822,7207747,19112829,15760425,3352404,6666603,5855374,811229,8831413,6730061,2101352,638347,464633,173714,2976466,2710357,266109,6639740,2784397,3855343,1408501,500075,908426,4314226,1802944,2511282,317220,92035,225185,599793,389343,210450,48564140,20050174,28513966,
STATE,2001,ANDHRA PRADESH,Urban,4397138,20808940,10590209,10218731,2550058,1304313,1245745,2120087,1063520,1056567,377181,194356,182825,13892871,7724531,6168340,6916069,2865678,4050391,6720971,5375091,1345880,6063279,4988309,1074970,94167,71449,22718,305499,188524,116975,337735,181258,156477,5325878,4547078,778800,657692,386782,270910,8030,4036,3994,141982,60147,81835,67305,22216,45089,440375,300383,139992,14087969,5215118,8872851,
STATE,2001,ANDHRA PRADESH,Rural,12607167,55401067,27937204,27463863,7621799,3883008,3738791,10219409,5164491,5054918,4646923,2353939,2292984,26041452,15720257,10321195,29359615,12216947,17142668,28172888,16287101,11885787,22977594,14467183,8510411,7303521,4969232,2334289,9517765,4952490,4565275,1014970,455951,559019,5141338,4089510,1051828,5195294,1819918,3375376,453816,156847,296969,3866906,1252580,2614326,222095,50797,171298,652477,359694,292783,27228179,11650103,15578076,
STATE,2001,ASSAM,Urban,710847,3439240,1837092,1602148,393668,202617,191051,272258,141126,131132,154024,79850,74174,2599061,1466741,1132320,840179,370351,469828,1141822,971756,170066,1063458,922637,140821,14695,12081,2614,6062,4913,1149,23593,15826,7767,1019108,889817,129291,78364,49119,29245,3309,1653,1656,4019,2037,1982,7713,2226,5487,63323,43203,20120,2297418,865336,1432082,
STATE,2001,ASSAM,Rural,4203976,23216288,11939945,11276343,4104407,2086499,2017908,1553691,802548,751143,3154546,1598267,1556279,11416293,6721956,4694337,11799995,5217989,6582006,8396769,5899204,2497565,6050639,4926395,1124244,2665397,2226342,439055,630289,535856,94433,157527,90855,66672,2597426,2073342,524084,2346130,972809,1373321,1047372,393992,653380,623162,289702,333460,156079,24995,131084,519517,264120,255397,14819519,6040741,8778778,
STATE,2001,ARUNACHAL PRADESH,Urban,49106,227881,125261,102620,36842,18603,18239,3126,1821,1305,98880,48945,49935,149501,90866,58635,78380,34395,43985,80892,63292,17600,74980,60274,14706,3134,1526,1608,680,507,173,886,673,213,70280,57568,12712,5912,3018,2894,763,266,497,526,233,293,371,100,271,4252,2419,1833,146989,61969,85020,
STATE,2001,ARUNACHAL PRADESH,Rural,166468,870087,454680,415407,169029,86230,82799,3062,1769,1293,606278,303072,303206,335284,212415,122869,534803,242265,292538,402010,230320,171690,340027,207110,132917,231713,119823,111890,9969,6574,3395,3266,1955,1311,95079,78758,16321,61983,23210,38773,43690,14721,28969,7665,3015,4650,1520,449,1071,9108,5025,4083,468077,224360,243717,
